Table
Ingresos de Intereses Netos (IIN) (Millones de Pesos) ,4T19 ,3T20 ,4T20 ,Var. 3T20 ,Vs. 4T19 ,2019 ,2020 ,Var. Vs. 2019 
Ingresos por Intereses ,"33,395 ","28,508 ","27,068 ",(5%) ,(19%) ,"138,752 ","119,479 ",(14%) 
Gastos por Intereses ,"14,858 ","10,149 ","9,324 ",(8%) ,(37%) ,"67,533 ","46,741 ",(31%) 
Comisiones Cobradas ,382 ,354 ,380 ,7% ,(1%) ,"1,406 ","1,440 ",2% 
Comisiones Pagadas ,316 ,281 ,314 ,12% ,(1%) ,"1,160 ","1,156 ",(0%) 
IIN sin Seguros y Pensiones ,"18,604 ","18,432 ","17,810 ",(3%) ,(4%) ,"71,465 ","73,022 ",2% 
Ingresos por Primas (Neto) ,"7,747 ","7,385 ","9,192 ",24% ,19% ,"32,537 ","36,849 ",13% 
Reservas Técnicas ,"5,086 ","4,262 ","4,368 ",2% ,(14%) ,"15,003 ","17,793 ",19% 
"Siniestros, Reclamaciones y Otras Obligaciones ","4,967 ","5,433 ","6,281 ",16% ,26% ,"18,779 ","21,920 ",17% 
Resultado Técnico ,"(2,305) ","(2,310) ","(1,458) ",37% ,37% ,"(1,244) ","(2,863) ",(130%) 
Ingresos (Egresos) por Intereses Netos ,"3,889 ","4,479 ","3,228 ",(28%) ,(17%) ,"10,356 ","12,673 ",22% 
IIN de Seguros y Pensiones ,"1,584 ","2,169 ","1,770 ",(18%) ,12% ,"9,112 ","9,810 ",8% 
IIN GFNORTE ,"20,188 ","20,601 ","19,580 ",(5%) ,(3%) ,"80,577 ","82,832 ",3% 
Provisiones para Crédito ,"3,765 ","3,138 ","5,993 ",91% ,59% ,"15,347 ","21,931 ",43% 
IIN Ajustado por Riesgos Crediticios ,"16,423 ","17,463 ","13,587 ",(22%) ,(17%) ,"65,230 ","60,901 ",(7%) 
Activos Productivos Promedio ,"1,419,439 ","1,615,282 ","1,625,011 ",1% ,14% ,"1,434,764 ","1,564,112 ",9% 
MIN (1) ,5.7% ,5.1% ,4.8% ,,,5.6% ,5.3% ,
MIN ajustado por Provisiones de Crédito (2) ,4.6% ,4.3% ,3.3% ,,,4.5% ,3.9% ,
MIN ajustado sin Seguros y Pensiones ,5.9% ,5.2% ,5.0% ,,,5.6% ,5.3% ,
MIN de Cartera Crediticia (3) ,8.7% ,7.9% ,7.6% ,,,8.2% ,8.0% ,


