Table
Resultado Neto ,"20,384 "
Ajustes por partidas que no implican flujo de efectivo ,
"Depreciación de Inmuebles, mobiliario yequipo ","2,110 "
Provisiones ,109 
Impuestos a la utilidad causados y diferidos ,"6,730 "
"Participación en el resultado de subsidiarias no consolidadas, asociadas ynegocios conjuntos ",(104) 
,"8,845 "
,"29,229 "
Actividades de operación ,
Cambio en cuentas de margen ,"(12,173) "
Cambio en inversiones en valores ,"21,605 "
Cambio en deudores por reporto ,"(1,020) "
Cambio en derivados (activo) ,"(25,924) "
Cambio en cartera de crédito (neto) ,"(32,832) "
Cambio en derecho de cobro adquiridos (neto) ,(258) 
Cambio en beneficios por recibir en operaciones de bursatilización ,29 
Cambio en bienes adjudicados (neto) ,(523) 
Cambio en otros activos operativos (neto) ,"(10,617) "
Cambio en captación tradicional ,"98,982 "
Cambio en préstamos interbancarios de otros organismos ,35 
Cambio en acreedores por reporto ,"(46,723) "
Cambio en colaterales vendidos o dados en garantía ,(92) 
Cambio en derivados (pasivo) ,"23,345 "
Cambio en obligaciones subordinadas con características de pasivo ,"9,102 "
Cambio en otros pasivos operativos ,"5,619 "
Cambio en instrumentos de cobertura (de partidas cubiertas relacionadas con actividades de operación) ,270 
Pago de Impuestos a la utilidad ,"(4,490) "
Flujos netos de efectivo de actividades de operación ,"53,564 "
Actividades de inversión ,
"Cobros por disposición de inmuebles, mobiliario /equipo ",991 
"Pagos por adquisición de inmuebles, mobiliario yequipo ","(4,702) "
"Pagos por disposición de subsidiarias, asociadas /acuerdos con control conjunto ",(107) 
Cobros de dividendos en efectivo ,105 
Flujos netos de efectivo de actividades de inversión ,"(3,713) "
Actividades de financiamiento ,
Pagos de intereses de obligaciones subordinadas ,"(3,401) "
Flujos netos de efectivo de actividades de financiamiento ,"(3,401) "
Incremento o disminución neta de efectivo y equivalentes de efectivo ,"46,450 "
Efectos por cambios en el valor del efectivo y equivalentes de efectivo ,11 
Efectivo y equivalentes al inicio del período ,"62,282 "
Efectivo y equivalentes al final del período ,"108,743 "


