Table
,,"leyes de México o cualquier disposición que derive de las mismas, o (b) cualquier pronunciamiento administrativo oficial o decisión judicial que interprete o aplique esas leyes o disposiciones, cuya modificación o cambio entre en vigor o cuyo pronunciamiento o decisión sea anunciada en o posterior a la Fecha de Emisión, exista más que un riesgo insustancial de que Banco Santander México no estará facultado a clasificar los Instrumentos como Capital Básico, o el entonces equivalente del Capital Básico para efectos de los Requerimientos de Capitalización, según se encuentren vigentes y sean aplicables a Banco Santander México o (ii) el Emisor reciba una opinión de una firma de abogados de reconocido prestigio y con experiencia en dicha materia, estableciendo que como consecuencia de un Cambio en el Tratamiento Fiscal, existe más que un riesgo insustancial de que los intereses pagaderos por el Emisor sobre los Instrumentos no serán deducibles total o parcialmente por el Emisor para efectos del impuesto sobre la renta aplicable en México. "
15B ,Monto total de pago si se realiza una amortización anticipada del Instrumento ,"De realizarse una amortización anticipada, la misma se realizará a valor nominal más los intereses pagaderos, devengados y no pagados (y que no hubieran sido cancelados), con respecto a los Instrumentos, más los Intereses Adicionales, si los hubiere, hasta, pero excluyendo, la fecha de amortización. "
16 ,Fechas subsecuentes a la Primera fecha de pago anticipada voluntaria ,En cada Fecha de Pago de Intereses posterior a la Primera Fecha de Pago Anticipado Voluntario. 
,Rendimientos / dividendos ,
17 ,Tipo de Tasa de Interés ,"Fija. Sin embargo, la misma se recalculará en la Primera fecha de Pago Anticipado Voluntario, y en cada quinto aniversario a partir de la misma. "
18 ,Tasa de Interés ,8.50% 
19 ,Cláusula de cancelación de dividendos ,N.A. 
20 ,Discrecionalidad en el pago ,"Completamente Discrecionales. (a) Los intereses serán pagados únicamente a discreción del Emisor, y ninguna cantidad de intereses será exigible en cualquier período de intereses si el Emisor ejerció su derecho a no realizar dicho pago (de manera total o parcial) o si fueron cancelados como resultado de la ocurrencia o permanencia de un Evento de Cancelación Obligada de Intereses; y (b) una cancelación del pago de intereses (de manera total o parcial) no constituirá un evento de incumplimiento del Emisor. "
21 ,¿Existe alguna cláusula que genere incentivos a que el Emisor pague anticipadamente el Instrumento? ,No. 
22 ,¿Los intereses son acumulables? ,No. 
23 ,Convertibilidad del instrumento ,Sí. 
24 ,Evento de Actualización del Supuesto de Conversión ,"Ocurrirá un ""Evento de Actualización del Supuesto de Conversión"" cuando: (i) El Día Hábil siguiente (en México) a la publicación de una determinación por parte de la CNBV, en la publicación oficial que realice respecto de los niveles de capitalización de las instituciones de banca múltiple, que el Coeficiente de Capital Fundamental de "


