Table
,,"El Emisor tendrá el derecho y diferirá, pero no cancelará (excepto por motivo de un Evento de Actualización del Supuesto de Pérdida de Valor), el pago de intereses y de principal del Instrumento, si la CNBV instituye ciertas medidas correctivas sobre el Emisor si el mismo es clasificado como Clase III o menor (o una clasificación equivalente en provisiones sucesorias) bajo las reglas de capitalización en México. El pago de intereses devengados y no pagados será acumulado. Sujeto a la no existencia de uno o varios Eventos de Actualización del Supuesto de Pérdida de Valor, al terminar un Período de Suspensión, el pago de intereses devengados y no pagados y de principal del Instrumento se realizará de nueva cuenta. "
23 ,Convertibilidad del instrumento ,No. 
24 ,Evento de Actualización del Supuesto de Conversión ,N.A. 
25 ,Monto de la Conversión ,N.A. 
26 ,Precio de Conversión ,N.A. 
27 ,Tipo de Conversión del Instrumento ,N.A. 
28 ,Tipo de instrumento financiero en los que se convertiría el Instrumento de Capital ,N.A. 
29 ,Emisor de dicho instrumento financiero. ,N.A. 
30 ,Cláusula de Pérdida de Valor (Write-Down) ,Sí. 
31 ,Evento de Actualización del Supuesto de Pérdida de Valor ,"Ocurrirá un ""Evento de Actualización del Supuesto de Pérdida de Valor"": (i) Si la CNBV publica una determinación, en la publicación oficial que realice respecto de los niveles de capitalización de las instituciones de banca múltiple, que el Coeficiente de Capital Fundamental de Banco Santander México, calculado de conformidad con los Requerimientos de Capitalización aplicables, se ubique en 4.5% o menos; o (ii) En caso que (A) la CNBV notifique a Banco Santander México su determinación, de conformidad con el Artículo 29 Bis de la Ley de Instituciones de Crédito, que ha incurrido en alguna de las siguientes causales de revocación de la autorización para operar como institución de banca múltiple (x) que Banco Santander México no cumpla con las medidas correctivas impuestas por la CNBV conforme a la Ley de Instituciones de Crédito, o (y) que Banco Santander México no cumpla con el Índice de Capitalización requerido conforme a los Requerimientos de Capitalización y (B) que Banco Santander México no subsane dichas causales de revocación mediante (1) el cumplimiento de dichas medidas correctivas, (2)(i) la presentación de un plan de restauración de capital ante, y la aprobación de dicho plan por, la CNBV, (ii) que no sea clasificado en las categorías III, IV o V, y (iii) la transferencia de al menos el 75% (setenta y cinco por ciento) de sus acciones a un fideicomiso irrevocable, o (3) remediar cualquier deficiencia de capital, en cada caso, en o antes del tercer o séptimo día natural (en México), según sea aplicable, siguiente a la fecha en que la CNBV notifique a Banco Santander México respecto de su determinación. "
32 ,Profundidad de la pérdida de valor del Instrumento ,"""Monto de la Pérdida"" significa un (i) monto que pueda ser suficiente, en conjunto con cualquier reducción simultánea a pro-rata de cualquier otro instrumento de absorción de pérdida en circulación emitido por el Emisor, para regresar el Capital Básico Fundamental de Banco Santander México al nivel requeridos bajo la Sección IX, b), 2 "


