Table
Millones de pesos ,Jun-21 ,Mar-21 ,Jun-20 
Capital fundamental ,"113,511 ","114,711 ","96,915 "
Capital básico ,"123,462 ","124,926 ","108,451 "
Capital complementario ,"27,128 ","27,855 ","30,507 "
Total capital ,"150,590 ","152,782 ","138,958 "
Activos en riesgo ,,,
Riesgos de crédito ,"536,820 ","526,922 ","545,833 "
"Riesgos de crédito, mercado y operacional ","796,432 ","774,368 ","832,610 "
Riesgos de crédito: ,,,
Capital Fundamental (CET1) (%) ,21.15 ,21.77 ,17.76 
Capital Básico (Tier1) ,23.00 ,23.71 ,19.87 
Capital Complementario (Tier2) (%) ,5.05 ,5.29 ,5.59 
Índice de capitalización (%) ,28.05 ,29.00 ,25.46 
Riesgos totales: ,,,
Capital Fundamental (CET1) (%) ,14.25 ,14.81 ,11.64 
Capital Básico (Tier 1) ,15.50 ,16.13 ,13.03 
Capital Complementario (Tier2) (%) ,3.41 ,3.60 ,3.65 
Índice de capitalización (%) ,18.91 ,19.73 ,16.69 


