Table
Nivel de mercado ,Valor observado ,Fechas de Observación 1 a 7 ,Fechas de Ejercicio 1 a 7 ,Fecha de Ejercicio 8 
744.70 ,110.00 ,0.00 ,101.64 ,Ps. 101.64 
778.55 ,115.00 ,0.00 ,101.64 ,Ps. 101.64 
812.40 ,120.00 ,0.00 ,101.64 ,Ps. 101.64 
846.25 ,125.00 ,0.00 ,101.64 ,Ps. 101.64 
880.10 ,130.00 ,0.00 ,101.64 ,Ps. 101.64 
913.95 ,135.00 ,0.00 ,101.64 ,Ps. 101.64 
947.80 ,140.00 ,0.00 ,101.64 ,Ps. 101.64 


Table
Nivel de mercado ,Valor observado ,Fechas de Observación 1 a 5 ,Fechas de Ejercicio 1 a 5 ,Fecha de Ejercicio 6 
0.00 ,0.00 ,0.00 ,0.00 ,Ps. 50.00 
28.89 ,5.00 ,0.00 ,0.00 ,Ps. 50.00 
57.79 ,10.00 ,0.00 ,0.00 ,Ps. 50.00 
86.68 ,15.00 ,0.00 ,0.00 ,Ps. 50.00 
115.57 ,20.00 ,0.00 ,0.00 ,Ps. 50.00 
144.47 ,25.00 ,0.00 ,0.00 ,Ps. 50.00 
173.36 ,30.00 ,0.00 ,0.00 ,Ps. 50.00 
202.25 ,35.00 ,0.00 ,0.00 ,Ps. 50.00 
231.15 ,40.00 ,0.00 ,0.00 ,Ps. 50.00 
260.04 ,45.00 ,0.00 ,0.00 ,Ps. 50.00 
288.94 ,50.00 ,0.00 ,0.00 ,Ps. 50.00 
317.83 ,55.00 ,0.00 ,0.00 ,Ps. 55.00 
346.72 ,60.00 ,0.00 ,0.00 ,Ps. 60.00 
375.62 ,65.00 ,0.00 ,0.00 ,Ps. 65.00 
404.51 ,70.00 ,0.00 ,0.00 ,Ps. 70.00 
433.40 ,75.00 ,0.00 ,0.00 ,Ps. 75.00 
462.30 ,80.00 ,0.00 ,0.00 ,Ps. 80.00 
491.19 ,85.00 ,4.40 ,0.00 ,Ps. 104.00 
520.08 ,90.00 ,4.40 ,0.00 ,Ps. 104.00 
548.98 ,95.00 ,4.40 ,0.00 ,Ps. 104.00 
577.87 ,100.00 ,4.40 ,0.00 ,Ps. 104.00 
606.76 ,105.00 ,0.00 ,104.40 ,Ps. 104.00 
635.66 ,110.00 ,0.00 ,104.40 ,Ps. 104.00 


