Table
Nivel de mercado ,Valor observado (vo) ,Pago de derechos a vencimiento 
0 ,0 ,Ps.90.00 
1.14 ,3.00 ,Ps.90.00 
2.28 ,6.00 ,Ps.90.00 
3.42 ,9.00 ,Ps.90.00 
4.56 ,12.00 ,Ps.90.00 
5.70 ,15.00 ,Ps.90.00 
6.84 ,18.00 ,Ps.90.00 
7.98 ,21.00 ,Ps.90.00 
9.12 ,24.00 ,Ps.90.00 
10.26 ,27.00 ,Ps.90.00 
11.40 ,30.00 ,Ps.90.00 
12.54 ,33.00 ,Ps.90.00 
13.68 ,36.00 ,Ps.90.00 
14.82 ,39.00 ,Ps.90.00 
15.96 ,42.00 ,Ps.90.00 
17.10 ,45.00 ,Ps.90.00 
18.24 ,48.00 ,Ps.90.00 
19.38 ,51.00 ,Ps.90.00 
20.52 ,54.00 ,Ps.90.00 
21.66 ,57.00 ,Ps.90.00 
22.80 ,60.00 ,Ps.90.00 
23.94 ,63.00 ,Ps.90.00 


