Table
Tabla III.1 ,,
Posiciones expuestas a riesgo de mercado por ,factor de riesgo ,
,,
Concepto ,Importe de posiciones equivalentes ,Requerimiento de capital 
Operaciones en moneda nacional con tasa nominal ,"99,354.8 ","7,948.4 "
Operaciones con títulos de deuda en moneda nacional con sobretasa y una tasa revisable ,"1,564.9 ",125.2 
Operaciones en moneda nacional con tasa real o denominados en UDI's ,"9,313.7 ",745.1 
Operaciones en moneda nacional con tasa de rendimiento referida al crecimiento del Salario Mínimo General ,"8,253.4 ",660.3 
Posiciones en UDI's o con rendimiento referido al INPC ,58.2 ,4.7 
Posiciones en moneda nacional con tasa de rendimiento referida al crecimiento del salario mínimo general ,262.8 ,21.0 
Operaciones en moneda extranjera con tasa nominal ,"58,373.8 ","4,669.9 "
Posiciones en divisas o con rendimiento indizado al tipo de cambio ,"6,308.6 ",504.7 


Table
27 ,Impuestos a la utilidad diferidos a cargo provenientes de diferencias temporales asociados al plan de pensiones por beneficios definidos. 
28 ,"Impuestos a la utilidad diferidos a cargo provenientes de diferencias temporales distintos los de las referencias 24, 25, 27 y 33. "
29 ,Monto de obligaciones subordinadas que cumplen con el Anexo 1-R de las presentes disposiciones. 
30 ,Monto de obligaciones subordinadas sujetas a transitoriedad que computan como Capital Básico No Fundamental. 
31 ,Monto de obligaciones subordinadas que cumplen con el Anexo 1-S de las presentes disposiciones. 
32 ,Monto de obligaciones subordinadas sujetas a transitoriedad que computan como capital complementario. 
33 ,Impuestos a la utilidad diferidos a cargo provenientes de diferencias temporales asociados a cargos diferidos y pagos anticipados. 
34 ,Monto del capital contribuido que satisface lo establecido en el Anexo 1-Q de las presentes disposiciones. 
35 ,Resultado de ejercicios anteriores. 
36 ,Resultado por valuación de instrumentos de cobertura de flujo de efectivo de partidas cubiertas valuadas a valor razonable. 
37 ,Resultado neto y resultado por valuación de títulos disponibles para la venta. 
38 ,Monto del capital contribuido que satisface lo establecido en el Anexo 1-R de las presentes disposiciones. 
39 ,Monto del capital contribuido que satisface lo establecido en el Anexo 1-S de las presentes disposiciones. 
40 ,Resultado por valuación de instrumentos para cobertura de flujo de efectivo de partidas cubiertas valuadas a costo amortizado. 
41 ,Efecto acumulado por conversión. 
42 ,Resultado por tenencia de activos no monetarios. 
43 ,Posiciones relacionadas con el Esquema de Primeras Pérdidas en los que se conserva el riesgo o se proporciona protección crediticia hasta cierto límite de una posición conforme a la fracción I inciso o) del Artículo 2 Bis 6. 
44 ,Reservas pendientes de constituir conforme a lo establecido en la fracción I inciso k) del Artículo 2 Bis 6 de las presentes disposiciones. 
45 ,"El monto que resulte si con motivo de la adquisición de posiciones de bursatilización, las Instituciones originadoras registran una utilidad o un incremento en el valor de sus activos respecto de los activos anteriormente registrados en su balance, conforme a lo establecido en la fracción I inciso c) del Artículo 2 Bis 6 de las presentes disposiciones. "
46 ,"Operaciones que contravengan las disposiciones, conforme a lo establecido en la fracción I inciso m) del Artículo 2 Bis 6 de las presentes disposiciones. "
47 ,El monto agregado de las Operaciones Sujetas a Riesgo de Crédito a cargo de Personas Relacionadas Relevantes conforme a la fracción I incisos) del Artículo 2 Bis 6 de las presentes disposiciones. 


