Table
Impuesto sobre la renta ,932 
Impuestos diferidos ,659 (1) 
Total Banco ,"1,591 "
Impuesto causado-diferido otras subsidiarias ,691 
Total Banco consolidado ,"2,282 "
(1) Se integran como sigue: ,
Reserva preventiva global ,(350) 
"Propiedades, mobiliario y equipo y cargos diferidos ",(51) 
Efecto neto instrumentos financieros ,255 
Pasivos acumulados ,362 
Otros ,443 
Total Banco ,659 (1) 
Efecto neto reserva incobrables (subsidiarias) ,204 
Otros subsidiarias ,(105) 
Total impuesto diferido Banco consolidado ,758 
"Al 30 de junio de 2021, el activo y pasivo diferido se encuentran registrados al 100% ",
Remanente reservas preventivas globales e incobrables ,"9,807 "
Otros ,"9,625 "
Total impuesto diferido (neto) ,"19,432 "
Impuesto diferido registrado en cuentas de balance ,"19,432 "
Impuesto diferido registrado en cuentas de orden ,0 
,


Table
Activo por PTU diferida: ,
Estimación preventiva para riesgos crediticios pendientes de deducir ,"1,931 "
"Propiedades, mobiliario y equipo y cargos diferidos ",740 
Pasivos acumulados ,482 
Pérdidas fiscales por amortizar de acciones ,871 
Comisiones e intereses cobrados por anticipado ,152 
Bienes adjudicados ,100 
Obligaciones laborales ,293 
Operaciones financieras derivadas de tipo de cambio ,169 
PTU diferida activo ,"4,738 "
Pasivo por PTU diferida: ,


