Table
Nivel de mercado ,Valor observado ,Fechas de Observación 1a3 ,Fechas de Ejercicio 1 a 3 ,Fecha de Ejercicio 4 
0.00 ,0.00 ,0.00 ,0.00 ,Ps. 70.00 
15.68 ,5.00 ,0.00 ,0.00 ,Ps. 70.00 
31.36 ,10.00 ,0.00 ,0.00 ,Ps. 70.00 
47.04 ,15.00 ,0.00 ,0.00 ,Ps. 70.00 
62.72 ,20.00 ,0.00 ,0.00 ,Ps. 70.00 
78.40 ,25.00 ,0.00 ,0.00 ,Ps. 70.00 
94.08 ,30.00 ,0.00 ,0.00 ,Ps. 70.00 
109.76 ,35.00 ,0.00 ,0.00 ,Ps. 70.00 
125.44 ,40.00 ,0.00 ,0.00 ,Ps. 70.00 
141.12 ,45.00 ,0.00 ,0.00 ,Ps. 70.00 
156.80 ,50.00 ,0.00 ,0.00 ,Ps. 70.00 
172.47 ,55.00 ,0.00 ,0.00 ,Ps. 70.00 
188.15 ,60.00 ,0.00 ,0.00 ,Ps. 70.00 
203.83 ,65.00 ,0.00 ,0.00 ,Ps. 75.00 
219.51 ,70.00 ,0.00 ,0.00 ,Ps. 80.00 
235.19 ,75.00 ,0.00 ,0.00 ,Ps. 85.00 
250.87 ,80.00 ,0.00 ,0.00 ,Ps. 90.00 
266.55 ,85.00 ,0.00 ,0.00 ,Ps. 95.00 
282.23 ,90.00 ,2.40 ,0.00 ,Ps. 102.40 
297.91 ,95.00 ,2.40 ,0.00 ,Ps. 102.40 
313.59 ,100.00 ,0.00 ,102.40 ,Ps. 102.40 
329.27 ,105.00 ,0.00 ,102.40 ,Ps. 102.40 
344.95 ,110.00 ,0.00 ,102.40 ,Ps. 102.40 


