Table
Periodo ,Precio mínimo ,Precio máximo ,Volumen promedio (títulos) 
2016 ,7.77 ,9.64 ,"44,862.22 "
2017 ,7.88 ,9.33 ,"64,195.85 "
2018 ,7.91 ,10.02 ,"93,846.90 "
2019 ,8.25 ,11.81 ,"240,577.25 "
2020 ,8.33 ,28.29 ,"1,965,204.20 "
2° Sem. 2019 ,10.38 ,11.81 ,"324,746.97 "
1° Sem. 2020 ,8.33 ,14.24 ,"830,723.70 "
2° Sem. 2020 ,12.68 ,28.29 ,"3,087,353.40 "
1° Sem. 2021 ,20.71 ,33.41 ,"7,286,177.61 "
enero 2021 ,28.24 ,33.41 ,"11,088,492.32 "
febrero 2021 ,25.50 ,31.49 ,"7,700,595.96 "
marzo 2021 ,22.27 ,26.83 ,"8,693,116.32 "
abril 2021 ,23.00 ,24.62 ,"6,579,975.43 "
mayo 2021 ,20.71 ,23.24 ,"5,596,489.19 "
junio 2021 ,22.09 ,23.81 ,"3,968,705.47 "


