Table
Nivel de mercado ,Valor observado ,Fechas de ejercicio 1 a 2 ,Fecha de ejercicio 3 
514.87 ,100.00 ,Ps. 107.25 ,Ps. 100.00 
540.61 ,105.00 ,Ps. 107.25 ,Ps. 107.50 
566.36 ,110.00 ,Ps. 107.25 ,Ps. 115.00 
592.10 ,115.00 ,Ps. 107.25 ,Ps. 122.50 
617.84 ,120.00 ,Ps. 107.25 ,Ps. 130.00 
643.59 ,125.00 ,Ps. 107.25 ,Ps. 137.50 
669.33 ,130.00 ,Ps. 107.25 ,Ps. 145.00 
695.07 ,135.00 ,Ps. 107.25 ,Ps. 152.50 
720.82 ,140.00 ,Ps. 107.25 ,Ps. 160.00 


Table
Nivel de mercado ,Valor observado ,Fechas de Observación 1 a 5 ,Fechas de Ejercicio 1 a 5 ,Fecha de Ejercicio 6 
0.00 ,0.00 ,0.83 ,0.00 ,Ps. 13.83 
28.53 ,5.00 ,0.83 ,0.00 ,Ps. 18.83 
57.06 ,10.00 ,0.83 ,0.00 ,Ps. 23.83 
85.59 ,15.00 ,0.83 ,0.00 ,Ps. 28.83 
114.13 ,20.00 ,0.83 ,0.00 ,Ps. 33.83 
142.66 ,25.00 ,0.83 ,0.00 ,Ps. 38.83 
171.19 ,30.00 ,0.83 ,0.00 ,Ps. .43.83 
199.72 ,35.00 ,0.83 ,0.00 ,Ps. 48.83 
228.25 ,40.00 ,0.83 ,0.00 ,Ps. 53.83 
256.78 ,45.00 ,0.83 ,0.00 ,Ps. 58.83 
285.32 ,50.00 ,0.83 ,0.00 ,Ps. 63.83 
313.85 ,55.00 ,0.83 ,0.00 ,Ps. 68.83 
342.38 ,60.00 ,0.83 ,0.00 ,Ps. 73.83 
370.91 ,65.00 ,0.83 ,0.00 ,Ps. 78.83 
399.44 ,70.00 ,0.83 ,0.00 ,Ps. 83.83 
427.97 ,75.00 ,0.83 ,0.00 ,Ps. 88.83 
456.50 ,80.00 ,0.83 ,0.00 ,Ps. 93.83 
485.04 ,85.00 ,0.83 ,0.00 ,Ps. 98.83 
513.57 ,90.00 ,0.83 ,0.00 ,Ps. 100.83 
542.10 ,95.00 ,0.83 ,0.00 ,Ps. 100.83 
570.63 ,100.00 ,0.00 ,100.83 ,Ps. 100.83 


