Table
Millones de pesos ,Criterios Contables Especiales ,Criterio Contable B-6 
Créditos comerciales ,,
Actividad empresarial o comercial ,16 ,16 
Créditos de consumo ,"3,672 ","3,777 "
Total de cartera de crédito vencida ,"3,688 ","3,793 "
Cartera de crédito ,"81,334 ","81,294 "
(-) Menos: ,,
Estimación preventiva para riesgos crediticios ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,(42) ,(42) 
Créditos de consumo ,"(8,440) ","(8,425) "
Total de estimación preventiva para riesgos crediticios ,"(8,482) ","(8,467) "
Total de cartera de crédito (Neto) ,"72,852 ","72,827 "


Table
Millones de pesos ,Criterios Contables Especiales ,Criterio Contable B-6 
Ingresos por intereses ,"8,354 ","8,314 "
Intereses de cartera de crédito: ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,92 ,92 
Créditos de consumo ,"8,260 ","8,220 "
Total de ingresos por intereses de cartera de crédito ,"8,352 ","8,312 "
Estimación preventiva para riesgos crediticios Créditos comerciales ,,
Actividad empresarial o comercial ,(110) ,(110) 
Créditos de consumo ,"(4,163) ","(4,148) "
Total de estimación preventiva para riesgos crediticios ,"(4,273) ","(4,258) "


Table
Criterios Contables Especiales ,28.95% 
Criterio Contable B-6 ,28.91% 
,4 pb 


