Table
Porcentajes ,2T21 ,1T21 ,2T20 ,6M21 ,6M20 
Índice de morosidad ,2.87 ,2.91 ,2.51 ,2.87 ,2.51 
Índice de cobertura de cartera de crédito vencida ,118.39 ,120.12 ,138.81 ,118.39 ,138.81 
Eficiencia operativa ,2.35 ,2.20 ,2.06 ,2.35 ,2.08 
ROE ,11.80 ,8.24 ,11.77 ,10.00 ,13.41 
ROA ,1.11 ,0.73 ,0.91 ,0.95 ,1.03 
Índice de capitalización desglosado: ,,,,,
Riesgo de crédito ,28.05 ,29.00 ,25.46 ,28.05 ,25.46 
"Riesgo de crédito, mercado y operacional ",18.91 ,19.73 ,16.69 ,18.91 ,16.69 
Liquidez ,97.13 ,114.05 ,110.73 ,97.13 ,110.73 
MIN ,2.82 ,2.11 ,1.82 ,2.53 ,2.32 


