Table
E. en g) ,"Instituciones Calificadoras al emisor, igual o mejor al Grado de Riesgo 2 a largo plazo. Inversiones en acciones de empresas relacionadas con la Institución en los términos de los Artículos 73, 73 Bis y 73 Bis 1 de la Ley, incluyendo el monto correspondiente de las inversiones fondos de inversión y las inversiones en índices conforme a lo establecido en la fracción I inciso del Artículo 2 Bis 6 de las presentes disposiciones. "
F. a ,"Inversiones que realicen las instituciones de banca de desarrollo en capital de riesgo, conforme lo establecido en la fracción I inciso h) del Artículo 2 Bis 6 de las presentes disposiciones. "
G. ,"Las inversiones en acciones, distintas del capital fijo, de fondos de inversión cotizadas en las que la Institución mantenga más del 15 por ciento del capital contable del citado fondo de inversión, conforme a la fracción I inciso i del Artículo 2 Bis 6, que no hayan sido consideradas en las referencias anteriores. "
H. ,"Cualquier tipo de aportación cuyos recursos se destinen a la adquisición de acciones de la sociedad controladora del grupo financiero, de las demás entidades financieras integrantes del grupo al que pertenezca la Institución o de las filiales financieras de éstas conforme a lo establecido en la fracción I inciso l) del Artículo 2 Bis 6 de las presentes disposiciones. "
I. ,"Operaciones que contravengan las disposiciones, conforme a lo establecido en la fracción | inciso m) del Artículo 2 Bis 6 de las presentes disposiciones. "
J. ,"Cargos diferidos y pagos anticipados, netos de sus impuestos a la utilidad diferidos a cargo, conforme a lo establecido en la fracción I inciso n) del Artículo 2 Bis 6 de las presentes disposiciones. "
K. o ,Posiciones relacionadas con el Esquema de Primeras Pérdidas en los que se conserva el riesgo se proporciona protección crediticia hasta cierto límite de una posición conforme a la fracción I inciso o) del Artículo 2 Bis 6. 
L. ,La participación de los trabajadores en las utilidades diferidas a favor conforme a la fracción | inciso p) del Artículo 2 Bis 6 de las presentes disposiciones. 
M. ,El monto agregado de las Operaciones Sujetas a Riesgo de Crédito a cargo de Personas Relacionadas Relevantes conforme a la fracción I inciso r) del Artículo 2 Bis 6 de las presentes disposiciones. 
N. ,La diferencia entre las inversiones realizadas por el fondo de pensiones de beneficios definidos conforme al Artículo 2 Bis 8 menos la referencia 15. 
O. ,Ajuste por reconocimiento del Capital Neto. El monto que se muestra corresponde al importe registrado en la celda C1 del formato incluido en el apartado II de este anexo. 
P. ,"Las inversiones o aportaciones, directa o indirectamente, en el capital de empresas o en el patrimonio de fideicomisos u otro tipo de figuras similares que tengan por finalidad compensary liquidar Operaciones celebradas en bolsa, salvo la participación de dichas empresas o fideicomisos en esta última de conformidad con el inciso f) fracción I del Artículo 2 Bis 6. "
27 ,No aplica. No existen ajustes regulatorios para el capital adicional de nivel 1 ni para el capital complementario. Todos los ajustes regulatorios se realizan del capital común de nivel 1. 
28 ,"Suma de los renglones 7 a 22, más los renglones 26 y 27. "
29 ,Renglón 6 menos el renglón 28. 
El ,monto correspondiente de los títulos representativos del capital social (incluyendo su prima en 
30 de ,"venta de acciones) que no hayan sido considerados en el Capital Fundamental y los Instrumentos Capital, que satisfacen las condiciones establecidas en el Anexo 1-R de las presentes disposiciones conforme a lo establecido en la fracción Il del Artículo 2 Bis 6 de estas disposiciones. "
31 ,Monto del renglón 30 clasificado como capital bajo los estándares contables aplicables. 


