Table
Nivel de mercado ,Valor observado ,Fechas de ejercicio 1 a 2 ,Fecha de ejercicio 3 
0.00 ,0.00 ,Ps. 0.00 ,Ps. 70.00 
25.74 ,5.00 ,Ps. 0.00 ,Ps. 70.00 
51.49 ,10.00 ,Ps. 0.00 ,Ps. 70.00 
77.23 ,15.00 ,Ps. 0.00 ,Ps. 70.00 
102.97 ,20.00 ,Ps. 0.00 ,Ps. 70.00 
128.72 ,25.00 ,Ps. 0.00 ,Ps. 70.00 
154.46 ,30.00 ,Ps. 0.00 ,Ps. 70.00 
180.20 ,35.00 ,Ps. 0.00 ,Ps. 70.00 
205.95 ,40.00 ,Ps. 0.00 ,Ps. 70.00 
231.69 ,45.00 ,Ps.0.00 ,Ps. 70.00 
257.44 ,50.00 ,Ps.0.00 ,Ps. 70.00 
283.18 ,55.00 ,Ps. 0.00 ,Ps. 70.00 
308.92 ,60.00 ,Ps. 0.00 ,Ps. 70.00 
334.67 ,65.00 ,Ps. 0.00 ,Ps. 75.00 
360.41 ,70.00 ,Ps. 0.00 ,Ps. 80.00 
386.15 ,75.00 ,Ps. 0.00 ,Ps. 85.00 
411.90 ,80.00 ,Ps. 0.00 ,Ps. 90.00 
437.64 ,85.00 ,Ps. 0.00 ,Ps. 95.00 
463.38 ,90.00 ,Ps. 0.00 ,Ps. 100.00 
489.13 ,95.00 ,Ps. 0.00 ,Ps. 100.00 


