Table
Millones de pesos ,Criterios Contables Especiales ,Criterio Contable B-6 
Ingresos por intereses ,"50,198 ","49,664 "
De los cuales: ,,
Intereses de cartera de crédito: ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,"14,474 ","14,306 "
Créditos de consumo ,"13,161 ","13,089 "
Créditos a la vivienda ,,
Media y residencial ,"7,569 ","7,275 "
De interés social ,1 ,1 
Créditos adquiridos al Infonavit o el Fovissste ,678 ,678 
Total de ingresos por intereses de cartera de crédito ,"35,883 ","35,349 "
Estimación preventiva para riesgos crediticios ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,"(8,447) ","(8,118) "
Créditos de consumo ,"(3,811) ","(3,807) "
Créditos a la vivienda ,,
Media y residencial ,108 ,(195) 
De interés social ,7 ,7 
Créditos adquiridos al Infonavit o el Fovissste ,0 ,0 
Total de estimación preventiva para riesgos crediticios ,"(12,143) ","(12,113) "


Table
Criterios Contables Especiales ,18.91% 
Criterio Contable B-6 ,18.84% 
,(7) pb 


