Table
Periodo ,Precio mínimo ,Precio máximo ,Volumen promedio (títulos) 
2016 ,66.02 ,75.68 ,"9,290,052.69 "
2017 ,68.94 ,83.98 ,"7,214,044.55 "
2018 ,79.55 ,95.87 ,"9,722,717.68 "
2019 ,83.47 ,103.11 ,"9,885,136.35 "
2020 ,74.62 ,113.44 ,"10,450,181.77 "
2° Sem. 2019 ,87.95 ,103.11 ,"8,226,989.13 "
1° Sem. 2020 ,74.62 ,104.73 ,"13,273,916.88 "
2° Sem. 2020 ,100.71 ,113.44 ,"7,657,139.44 "
1° Sem. 2021 ,110.80 ,126.03 ,"8,811,907.59 "
enero 2021 ,112.95 ,118.50 ,"8,706,689.03 "
febrero 2021 ,112.61 ,117.28 ,"8,571,871.79 "
marzo 2021 ,110.80 ,117.57 ,"10,441,172.65 "
abril 2021 ,116.39 ,123.68 ,"6,816,555.80 "
mayo 2021 ,121.33 ,124.48 ,"9,238,298.48 "
junio 2021 ,121.33 ,126.03 ,"9,015,840.80 "


