Table
Millones de pesos ,Importe sin ponderar (promedio) ,Importe ponderado (promedio) 
Activos Líquidos Computables ,,
1 Total de activos líquidos computables ,No aplica ,"225,575 "
Salidas de Efectivo ,,
2 Financiamiento minorista no garantizado ,"277,487 ","15,227 "
3 Financiamiento estable ,"250,438 ","12,522 "
4 Financiamiento menos estable ,"27,048 ","2,705 "
5 Financiamiento mayorista no garantizado ,"434,690 ","161,503 "
6 Depósitos operacionales ,"234,579 ","53,968 "
7 Depósitos no operacionales ,"176,324 ","83,748 "
8 Deuda no garantizada ,"23,787 ","23,787 "
9 Financiamiento mayorista garantizado ,No aplica ,665 
10 Requerimientos adicionales: ,"193,694 ","22,153 "
11 Salidas relacionadas a instrumentos financieros derivados y otros requerimientos de garantías ,"32,356 ","12,538 "
12 Salidas relacionadas a pérdidas del financiamiento de instrumentos de deuda ,0 ,0 
13 Líneas de crédito y liquidez ,"161,338 ","9,614 "
14 Otras obligaciones de financiamiento contractuales ,"82,065 ",273 
15 Otras obligaciones de financiamiento contingentes ,"11,302 ","11,302 "
16 Total de Salidas de Efectivo ,No aplica ,"211,121 "
Entradas de Efectivo ,,
17 Entradas de efectivo por operaciones garantizadas ,"107,415 ","2,120 "
18 Entradas de efectivo por operaciones no garantizadas ,"157,751 ","129,002 "
19 Otras entradas de efectivo ,"4,061 ","4,061 "
20 Total de Entradas de Efectivo ,"269,226 ","135,183 "
,,Importe ajustado 
21 Total de Activos Líquidos Computables ,No aplica ,"225,575 "
22 Total Neto de Salidas de Efectivo ,No aplica ,"77,983 "


