Table
36 ,Resultado por valuación de instrumentos para cobertura de flujo de efectivo ,3 ,,
37 ,Otros elementos del capital ganado distintos a los anteriores ,3 ,"31,756 ","BG30= 124,710 Menos: Resultado de ejercicios anteriores 92,945 Mas: Efecto acumulado por conversión 9 "
38 ,Capital contribuido que cumple con el Anexo 1-R ,31 ,"9,950 ","BG26= 36,186 Menos: Obligaciones subordinadas no convertibles a Capital 26,235 "
39 ,Capital contribuido que cumple con el Anexo 1-S ,46 ,"26,235 ","BG26= 36,186 Menos: Obligaciones subordinadas convertibles a Capital 9,950 "
40 ,Resultado por valuación de instrumentos para cobertura de flujo de efectivo de partidas no registradas a valor razonable ,"03, 11 ",,
41 ,Efecto acumulado por conversión ,"3,26- A ",,
42 ,Resultado por tenencia de activos no monetarios ,"3,26 A ",,
,Cuentas de orden ,,,
43 ,Posiciones en Esquemas de Primeras Pérdidas ,26-K ,,
,Conceptos regulatorios no considerados en el balance general ,,,
44 ,Reservas pedientes de constituir ,12 ,,
45 ,Utilidad o incremento al valor de los activos por adquisición de posiciones de bursatilizaciones (Instituciones Originadoras) ,26 C ,,
46 ,Operaciones que contravengan las disposiciones ,26 I ,,
47 ,Operaciones con Personas Relacionadas Relevantes ,26 M ,,
48 ,Derogado ,,,


Table
Notas ,"a la tabla II.2 ""Conceptos regulatorios considerados para el cálculo de los componentes del Capital Neto"" "
Identificador ,Descripción 
1 ,Crédito mercantil. 
2 ,"Intangibles, sin incluir al crédito mercantil. "
3 ,Impuestos a la utilidad diferidos a favor provenientes de pérdidas y créditos fiscales. 
4 ,Beneficios sobre el remanente en operaciones de bursatilización. 
5 ,Inversiones del plan de pensiones por beneficios definidos sin acceso irrestricto e ilimitado. 
6 ,"Cualquier acción propia que la Institución adquiera de conformidad con lo previsto en la Ley, que no hayan sido restadas; considerando aquellos montos adquiridos a través de las inversiones en índices de valores y el monto correspondiente a las inversiones en fondos de inversión distintas a las previstas por la referencia 18 "


