Table
,2T21 ,1T21 ,2T20 ,6M21 ,6M20 
Seguros ,29.5 ,25.5 ,29.1 ,27.5 ,27.3 
Tarjetas de crédito ,27.3 ,29.6 ,25.3 ,28.5 ,26.3 
Manejo de cuentas ,13.5 ,13.3 ,13.9 ,13.4 ,13.9 
Servicios de cobros y pagos ,11.3 ,12.1 ,11.1 ,11.7 ,11.9 
Fondos de inversión ,8.8 ,8.4 ,8.6 ,8.6 ,8.5 
Comercio exterior ,8.4 ,8.0 ,8.5 ,8.2 ,8.5 
Asesoría técnica y ofertas públicas ,7.0 ,8.7 ,9.3 ,7.9 ,9.3 
Compra venta de valores y operaciones de ,,,,,
mercado de dinero ,4.1 ,4.0 ,4.1 ,4.0 ,4.3 
Negociación de cheques ,0.6 ,0.6 ,0.6 ,0.6 ,0.7 
Corresponsalías bancarias ,(4.5) ,(4.4) ,(3.8) ,(4.5) ,(4.1) 
Otras ,(6.0) ,(5.8) ,(6.7) ,(5.9) ,(6.6) 
Total ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 


