Table
Ticker ,Nombre ,Ticker ,Nombre 
OR FP Equity ,L'Oreal SA ,ENI IM Equity ,Eni SpA 
DG FP Equity ,Vinci SA ,ENGI FP Equity ,Engie SA 
ASML NA Equity ,ASML Holding NV ,ABI BB Equity ,Anheuser-Busch InBev SA/NV 
SAN SQ Equity ,Banco Santander SA ,ADYEN NA Equity ,Adyen NV 
PHIA NA Equity ,Koninklijke Philips NV ,SAN FP Equity ,Sanofi 
TTE FP Equity ,TotalEnergies SE ,ENEL IM Equity ,Enel SpA 
Al FP Equity ,Air Liquide SA ,SU FP Equity ,Schneider Electric SE 
CS FP Equity ,AXA SA ,ALV GY Equity ,Allianz SE 
BNP FP Equity ,BNP Paribas SA ,AIR FP Equity ,Airbus SE 
BN FP Equity ,Danone SA ,BAYN GY Equity ,Bayer AG 
EL FP Equity ,EssilorLuxottica SA ,BMW GY Equity ,Bayerische Motoren Werke AG 
VIV FP Equity ,Vivendi SE ,CRH ID Equity ,CRH PLC 
MC FP Equity ,LVMH Moet Hennessy Louis Vuitton SE ,BAS GY Equity ,BASF SE 
KER FP Equity ,Kering SA ,SIE GY Equity ,Siemens AG 
AMS SQ Equity ,Amadeus IT Group SA ,VOW3 GY Equity ,Volkswagen AG 
SAF FP Equity ,Safran SA ,MUV2 GY Equity ,Munich Re 
AD NA Equity ,Koninklijke Ahold Delhaize NV ,SAP GY Equity ,SAP SE 
IBE SQ Equity ,Iberdrola SA ,RI FP Equity ,Pernod Ricard SA 
INGA NA Equity ,ING Groep NV ,ADS GY Equity ,adidas AG 
LIN GY Equity ,Linde PLC ,DTE GY Equity ,Deutsche Telekom AG 
PRX NA Equity ,Prosus NV ,DPW GY Equity ,Deutsche Post AG 
ITX SQ Equity ,Industria de Diseño Textil SA ,DAI GY Equity ,Daimler AG 


