Table
Millones de pesos ,2021 ,,,2020 ,,
,Jun ,Mar ,Dic ,Sep ,Jun ,Dic 
Cuentas de orden ,,,,,,
Activos y pasivos contingentes ,85 ,70 ,63 ,43 ,60 ,60 
Compromisos crediticios ,"245,992 ","243,137 ","249,138 ","233,900 ","241,991 ","239,348 "
Bienes en fideicomiso o mandato ,"192,877 ","192,050 ","204,219 ","202,538 ","203,887 ","182,285 "
Fideicomisos ,"192,010 ","191,155 ","203,223 ","201,809 ","203,288 ","181,595 "
Mandatos ,867 ,895 ,996 ,729 ,599 ,690 
Bienes en custodia o en administración ,"1,752,851 ","1,726,985 ","1,730,422 ","1,719,914 ","1,736,409 ","1,683,347 "
Colaterales recibidos por la institución ,"144,093 ","77,390 ","92,349 ","88,352 ","90,306 ","112,071 "
Colaterales recibidos y vendidos o entregados en garantía ,"70,738 ","4,101 ","9,508 ","47,932 ","33,734 ","35,501 "
Operaciones de banca de inversión por cuenta de terceros (neto) ,"163,891 ","135,183 ","99,277 ","152,800 ","100,690 ","172,343 "
Intereses devengados no cobrados derivados de cartera de crédito vencida ,957 ,944 ,866 ,776 ,890 ,879 
Otras cuentas de registro ,"1,780,655 ","1,772,146 ","1,753,408 ","1,765,791 ","1,789,945 ","1,891,589 "
,"4,352,139 ","4,152,006 ","4,139,250 ","4,212,046 ","4,197,912 ","4,317,423 "


