Table
Nivel de mercado ,Valor observado ,Fechas de Observación 1a3 ,Fechas de Ejercicio 1a2 ,Fecha de Ejercicio 3 
0.00 ,0.00 ,0.00 ,0.00 ,Ps. 70.00 
1.10 ,5.00 ,0.00 ,0.00 ,Ps. 70.00 
2.20 ,10.00 ,0.00 ,0.00 ,Ps. 70.00 
3.30 ,15.00 ,0.00 ,0.00 ,Ps. 70.00 
4.39 ,20.00 ,0.00 ,0.00 ,Ps. 70.00 
5.49 ,25.00 ,0.00 ,0.00 ,Ps. 70.00 
6.59 ,30.00 ,0.00 ,0.00 ,Ps. 70.00 
7.69 ,35.00 ,0.00 ,0.00 ,Ps. 70.00 
8.79 ,40.00 ,0.00 ,0.00 ,Ps. 70.00 
9.89 ,45.00 ,0.00 ,0.00 ,Ps. 70.00 
10.99 ,50.00 ,0.00 ,0.00 ,Ps. 70.00 
12.08 ,55.00 ,0.00 ,0.00 ,Ps. 70.00 
13.18 ,60.00 ,0.00 ,0.00 ,Ps. 70.00 
14.28 ,65.00 ,0.00 ,0.00 ,Ps. 70.00 
15.38 ,70.00 ,0.00 ,0.00 ,Ps. 70.00 
16.48 ,75.00 ,0.00 ,0.00 ,Ps. 75.00 
17.58 ,80.00 ,0.00 ,0.00 ,Ps. 80.00 
18.67 ,85.00 ,0.00 ,0.00 ,Ps. 85.00 
19.77 ,90.00 ,0.00 ,0.00 ,Ps. 90.00 
20.87 ,95.00 ,0.00 ,0.00 ,Ps. 95.00 
21.97 ,100.00 ,0.00 ,108.90 ,Ps. 100.00 
23.07 ,105.00 ,0.00 ,108.90 ,Ps. 105.00 
24.17 ,110.00 ,0.00 ,108.90 ,Ps. 110.00 
25.27 ,115.00 ,0.00 ,108.90 ,Ps. 115.00 
26.36 ,120.00 ,0.00 ,108.90 ,Ps. 120.00 
27.46 ,125.00 ,0.00 ,108.90 ,Ps. 125.00 
28.56 ,130.00 ,0.00 ,108.90 ,Ps. 130.00 
29.66 ,135.00 ,0.00 ,108.90 ,Ps. 135.00 
30.76 ,140.00 ,0.00 ,108.90 ,Ps. 140.00 


