Table
Nivel de mercado ,Valor observado ,Pago de derechos 
1.00 ,38.37 ,Ps. 90.00 
6.00 ,230.19 ,Ps. 90.00 
11.00 ,422.02 ,Ps. 90.00 
16.00 ,613.85 ,Ps. 90.00 
21.00 ,805.67 ,Ps. 90.00 
26.00 ,997.50 ,Ps. 90.00 
31.00 ,1189.33 ,Ps. 90.00 
36.00 ,1381.15 ,Ps. 90.00 
41.00 ,1572.98 ,Ps. 90.00 
46.00 ,1764.81 ,Ps. 90.00 
51.00 ,1956.64 ,Ps. 90.00 
56.00 ,2148.46 ,Ps. 90.00 
61.00 ,2340.29 ,Ps. 90.00 
66.00 ,2532.12 ,Ps. 90.00 
71.00 ,2723.94 ,Ps. 90.00 
76.00 ,2915.77 ,Ps. 90.00 
81.00 ,3107.60 ,Ps. 90.00 
86.00 ,3299.42 ,Ps. 90.00 
91.00 ,3491.25 ,Ps. 91.00 
96.00 ,3683.08 ,Ps. 96.00 
101.00 ,3874.91 ,Ps. 125.00 
106.00 ,4066.73 ,Ps. 125.00 
111.00 ,4258.56 ,Ps. 125.00 
116.00 ,4450.39 ,Ps. 125.00 
121.00 ,4642.21 ,Ps. 125.00 
126.00 ,4834.04 ,Ps. 126.00 
131.00 ,5025.87 ,Ps. 131.00 
136.00 ,5217.69 ,Ps. 136.00 
141.00 ,5409.52 ,Ps. 141.00 
146.00 ,5601.35 ,Ps. 146.00 
151.00 ,5793.18 ,Ps. 151.00 
156.00 ,5985.00 ,Ps. 156.00 
161.00 ,6176.83 ,Ps. 161.00 
166.00 ,6368.66 ,Ps. 166.00 
171.00 ,6560.48 ,Ps. 171.00 
176.00 ,6752.31 ,Ps. 176.00 
181.00 ,6944.14 ,Ps. 181.00 
186.00 ,7135.96 ,Ps. 186.00 
191.00 ,7327.79 ,Ps. 191.00 
196.00 ,7519.62 ,Ps. 196.00 
201.00 ,7711.45 ,Ps. 201.00 


