Table
,Número de créditos ,Millones de pesos 
Créditos comerciales ,,
Actividad empresarial o comercial ,710 ,54 
Créditos de consumo ,"252,511 ","12,239 "
Total ,"253,221 ","12,293 "


Table
Millones de pesos ,Criterios Contables Especiales ,Criterio Contable B-6 
Cartera de crédito vigente: ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,"2,081 ","2,081 "
Créditos de consumo ,"75,565 ","75,420 "
Total de cartera de crédito vigente ,"77,646 ","77,501 "
Cartera de crédito vencida: ,,


