Table
Nivel de mercado ,Valor observado ,Fechas de Observación 1 a 3 ,Fechas de Ejercicio 1 a 2 ,Fecha de Ejercicio 3 
0.00 ,0.00 ,0.00 ,0.00 ,Ps. 70.00 
1.07 ,5.00 ,0.00 ,0.00 ,Ps. 70.00 
2.14 ,10.00 ,0.00 ,0.00 ,Ps. 70.00 
3.21 ,15.00 ,0.00 ,0.00 ,Ps. 70.00 
4.28 ,20.00 ,0.00 ,0.00 ,Ps. 70.00 
5.35 ,25.00 ,0.00 ,0.00 ,Ps. 70.00 
6.41 ,30.00 ,0.00 ,0.00 ,Ps. 70.00 
7.48 ,35.00 ,0.00 ,0.00 ,Ps. 70.00 
8.55 ,40.00 ,0.00 ,0.00 ,Ps. 70.00 
9.62 ,45.00 ,0.00 ,0.00 ,Ps. 70.00 
10.69 ,50.00 ,0.00 ,0.00 ,Ps. 70.00 
11.76 ,55.00 ,0.00 ,0.00 ,Ps. 70.00 
12.83 ,60.00 ,0.00 ,0.00 ,Ps. 70.00 
13.90 ,65.00 ,0.00 ,0.00 ,Ps. 70.00 
14.97 ,70.00 ,0.00 ,0.00 ,Ps. 70.00 
16.04 ,75.00 ,0.00 ,0.00 ,Ps. 75.00 
17.10 ,80.00 ,0.00 ,0.00 ,Ps. 80.00 
18.17 ,85.00 ,0.00 ,0.00 ,Ps. 85.00 
19.24 ,90.00 ,0.00 ,0.00 ,Ps. 90.00 
20.31 ,95.00 ,0.00 ,0.00 ,Ps. 95.00 
21.38 ,100.00 ,0.00 ,108.58 ,Ps. 100.00 
22.45 ,105.00 ,0.00 ,108.58 ,Ps. 105.00 
23.52 ,110.00 ,0.00 ,108.58 ,Ps. 110.00 
24.59 ,115.00 ,0.00 ,108.58 ,Ps. 115.00 
25.66 ,120.00 ,0.00 ,108.58 ,Ps. 120.00 
26.73 ,125.00 ,0.00 ,108.58 ,Ps. 125.00 
27.79 ,130.00 ,0.00 ,108.58 ,Ps. 130.00 
28.86 ,135.00 ,0.00 ,108.58 ,Ps. 135.00 
29.93 ,140.00 ,0.00 ,108.58 ,Ps. 140.00 


