Table
,,Junio 2021 ,,,Junio 2020 ,,,Junio 2019 ,
,Utilidad ,Acciones ponderadas ,Utilidad por acción ,Utilidad ,Acciones ponderadas ,Utilidad por acción ,Utilidad ,Acciones ponderadas ,Utilidad por acción 
Utilidad por acción ordinaria ,"7,992 ","6,775,331,784 ",1.18 ,"9,644 ","6,776,874,706 ",1.42 ,"10,899 ","6,773,864,696 ",1.61 
Acciones en tesorería ,,"11,662,573 ",,,"10,119,651 ",,,"13,129,661 ",
Utilidad diluida por acción ,"7,992 ","6,786,994,357 ",1.18 ,"9,644 ","6,786,994,357 ",1.42 ,"10,899 ","6,786,994,357 ",1.61 
Más (pérdida) menos (utilidad): ,,,,,,,,,
Operaciones discontinuadas ,,,,,,,,,
Utilidad continua diluida por acción ,"7,992 ","6,786,994,357 ",1.18 ,"9,644 ","6,786,994,357 ",1.42 ,"10,899 ","6,786,994,357 ",1.61 
Total de acciones en circulación al 30 de junio de 2021 ,"6,775,085,014 ",,,,,,,,


