Table
Millones de pesos ,,
,Criterios Contables Especiales ,Criterio Contable B-6 
Créditos de consumo ,356 ,356 
Total de cartera de crédito vigente ,356 ,356 
Créditos de consumo ,4 ,4 
Total de cartera de crédito vencida ,4 ,4 
Cartera de crédito ,360 ,360 
(-) Menos: ,,
Estimación preventiva para riesgos crediticios ,,
Créditos de consumo ,(16) ,(16) 
Total de estimación preventiva para riesgos crediticios ,(16) ,(16) 
Total de cartera de crédito (Neto) ,344 ,344 


Table
Millones de pesos ,Criterios Contables Especiales ,Criterio Contable B-6 
Ingresos por intereses ,114 ,114 
De los cuales: ,,
Intereses de cartera de crédito: ,,
Créditos de consumo ,114 ,114 
Total de ingresos por intereses de cartera de crédito ,114 ,114 
Estimación preventiva para riesgos crediticios ,,
Créditos de consumo ,(17) ,(17) 
Total de estimación preventiva para riesgos crediticios ,(17) ,(17) 


Table
Índice de capitalización ,
Criterios Contables Especiales ,17.86% 
Criterio Contable B-6 ,17.86% 
,0 pb 


