Table
Nivel de mercado ,Valor observado ,Fechas de ejercicio 1 a 3 ,Fecha de ejercicio 4 
0.00 ,0.00 ,Ps. 0.00 ,Ps. 0.00 
7.52 ,3.00 ,Ps. 0.00 ,Ps. 3.00 
20.04 ,8.00 ,Ps. 0.00 ,Ps. 8.00 
32.57 ,13.00 ,Ps. 0.00 ,Ps. 13.00 
45.09 ,18.00 ,Ps. 0.00 ,Ps. 18.00 
57.62 ,23.00 ,Ps. 0.00 ,Ps. 23.00 
70.15 ,28.00 ,Ps. 0.00 ,Ps. 28.00 
82.67 ,33.00 ,Ps. 0.00 ,Ps. 33.00 
95.20 ,38.00 ,Ps. 0.00 ,Ps. 38.00 
107.72 ,43.00 ,Ps. 0.00 ,Ps. 43.00 
120.25 ,48.00 ,Ps. 0.00 ,Ps. 48.00 
132.78 ,53.00 ,Ps. 0.00 ,Ps. 53.00 
145.30 ,58.00 ,Ps. 0.00 ,Ps. 58.00 
157.83 ,63.00 ,Ps. 0.00 ,Ps. 63.00 
170.35 ,68.00 ,Ps. 0.00 ,Ps. 68.00 
182.88 ,73.00 ,Ps. 0.00 ,Ps. 73.00 
195.41 ,78.00 ,Ps. 0.00 ,Ps. 78.00 
207.93 ,83.00 ,Ps. 0.00 ,Ps.83.00 
220.46 ,88.00 ,Ps. 0.00 ,Ps.88.00 
232.98 ,93.00 ,Ps. 0.00 ,Ps. 93.00 
245.51 ,98.00 ,Ps. 0.00 ,Ps. 100.00 


