Table
Millones de pesos ,,2T21 ,,,2T20 ,,,Variación AaA ,
,Saldo promedio ,Interés ,Tasa (%) ,Saldo promedio ,Interés ,Tasa (%) ,Saldo promedio (%) ,Interés (%) ,Tasa (pb) 
Depósitos de exigibilidad inmediata ,"509,339 ","1,869 ",1.45 ,"479,090 ","2,583 ",2.13 ,6.3 ,(27.6) ,(68) 
Depósitos a plazo ,"240,044 ","2,065 ",3.40 ,"322,884 ","4,402 ",5.39 ,(25.7) ,(53.1) ,(199) 
Titulos de crédito emitidos ,"77,064 ","1,177 ",6.04 ,"83,449 ","1,256 ",5.95 ,(7.7) ,(6.3) ,9 
Préstamos bancarios y de ,,,,,,,,,
otros organismos ,"41,054 ",484 ,4.66 ,"80,100 ",946 ,4.67 ,(48.7) ,(48.8) ,(1) 
Obligaciones subordinadas ,"26,032 ",411 ,6.25 ,"30,337 ",478 ,6.23 ,(14.2) ,(14.0) ,2 
Reportos ,"357,234 ","3,322 ",3.68 ,"273,720 ","3,787 ",5.47 ,30.5 ,(12.3) ,(179) 
Gastos por intereses ,"1,250,767 ","9,328 ",2.95 ,"1,269,580 ","13,452 ",4.19 ,(1.5) ,(30.7) ,(124) 


