Table
Millones de pesos ,,,,% Variación ,
,Jun-21 ,Mar-21 ,Jun-20 ,TaT ,AaA 
Comercial ,"412,080 ","423,445 ","479,448 ",(2.7) ,(14.1) 
Empresas ,"198,573 ","194,004 ","214,557 ",2.4 ,(7.4) 
Corporativos ,"65,309 ","70,857 ","104,834 ",(7.8) ,(37.7) 
Pymes ,"56,448 ","60,415 ","72,198 ",(6.6) ,(21.8) 
Entidades Gubernamentales y Entidades Financieras ,"91,750 ","98,169 ","87,859 ",(6.5) ,4.4 
Individuos ,"298,243 ","290,544 ","271,771 ",2.6 ,9.7 
Consumo ,"115,591 ","113,294 ","112,992 ",2.0 ,2.3 
Tarjeta de crédito ,"50,989 ","50,807 ","54,242 ",0.4 ,(6.0) 
Otros Consumo ,"64,602 ","62,487 ","58,750 ",3.4 ,10.0 
Hipotecario ,"182,652 ","177,250 ","158,779 ",3.0 ,15.0 
Total ,"710,323 ","713,989 ","751,219 ",(0.5) ,(5.4) 


