Table
Ticker ,Nombre ,Ticker ,Nombre 
OR FP Equity ,L'Oreal SA ,ISP IM Equity ,Intesa Sanpaolo SpA 
DG FP Equity ,Vinci SA ,ENI IM Equity ,Eni SpA 
BBVA SQ Equity ,Banco Bilbao Vizcaya Argentaria SA ,ENGI FP Equity ,Engie SA 
SAN SQ Equity ,Banco Santander SA ,ORA FP Equity ,Orange SA 
ASML NA Equity ,ASML Holding NV ,ABI BB Equity ,Anheuser-Busch InBev SA/NV 
URW NA Equity ,Unibail-Rodamco-Westfielo ,SAN FP Equity ,Sanofi 
PHIA NA Equity ,Koninklijke Philips NV ,GLE FP Equity ,Societe Generale SA 
TEF SQ Equity ,Telefonica SA ,ENEL IM Equity ,Enel SpA 
FP FP Equity ,TOTAL SA ,NOKIA FH Equity ,Nokia OYJ 
Al FP Equity ,Air Liquide SA ,SU FP Equity ,Schneider Electric SE 
CS FP Equity ,AXA SA ,ALV GY Equity ,Allianz SE 
BNP FP Equity ,BNP Paribas SA ,AIR FP Equity ,Airbus SE 
BN FP Equity ,Danone SA ,BAYN GY Equity ,Bayer AG 
VIV FP Equity ,Vivendi SA ,BMW GY Equity ,Bayerische Motoren Werke AG 
EL FP Equity ,EssilorLuxottica SA ,CRH ID Equity ,CRH PLC 
MC FP Equity ,LVMH Moet Hennessy Louis Vuitton SE ,BAS GY Equity ,BASF SE 
KER FP Equity ,Kering SA ,SIE GY Equity ,Siemens AG 
AMS SQ Equity ,Amadeus IT Group SA ,VOW3 GY Equity ,Volkswagen AG 
SAF FP Equity ,Safran SA ,MUV2 GY Equity ,Munich Re 
AD NA Equity ,Koninklijke Ahold Delhaize NV ,FRE GY Equity ,Fresenius SE & Co KGaA 
UNA NA Equity ,Unilever NV ,SAP GY Equity ,SAP SE 
IBE SQ Equity ,Iberdrola SA ,ADS GY Equity ,adidas AG 
INGA NA Equity ,ING Groep NV ,DTE GY Equity ,Deutsche Telekom AG 
LIN GY Equity ,Linde PLC ,DPW GY Equity ,Deutsche Post AG 
ITX SQ Equity ,Industria de Diseño Textil SA ,DAI GY Equity ,Daimler AG 


