Table
pesos ,Capital ,contribuido ,,,,Capital ,ganado ,,,,
CONCEPTO ,Capital social ,Prima en venta de acciones ,Reservas de capital ,Resultado de ejercicios anteriores ,Resultado por valuación de títulos disponibles para la venta ,Resultado por valuación instrumentos de cobertura de flujos de efectivo ,Efecto acumulado por conversión ,Remediciones por beneficios definidos a los empleados ,Resulta- do neto ,Participación no controladora ,Total capital contable 
SALDOS AL 31 DE DICIEMBRE DE 2019 MOVIMIENTOS INHERENTES A LOS ACCIONISTAS ,"29,799 ","5,109 ","23,845 ","57,617 ","2,177 ",(249) ,9 ,(986) ,"21,332 ",42 ,"138,695 "
Aplicación de resultados 2019 a resultado ,,,,,,,,,,,
de ejercicios anteriores ,,,"1,601 ","19,731 ",,,,,"(21,332) ",,0 
TOTAL ,0 ,0 ,"1,601 ","19,731 ",0 ,0 ,0 ,0 ,"(21,332) ",0 ,0 
MOVIMIENTOS INHERENTES AL RECONOCIMIENTO DE LA UTILIDAD INTEGRAL ,,,,,,,,,,,
Resultado por valuación de títulos ,,,,,,,,,,,
disponibles para venta ,,,,,(901) ,,,,,,(901) 
Resultados por valuación de instrumentos ,,,,,,,,,,,
de cobertura de flujos de efectivo ,,,,,,(571) ,,,,,(571) 
Reconocimiento de pagos basados en ,,,,,,,,,,,
acciones ,,169 ,,,,,,,,,169 
Acciones en tesorería ,,(47) ,,,,,,,,,(47) 
Intereses sobre obligaciones subordinadas ,,,,,,,,,,,
perpetuas no preferentes convertibles a ,,,,,,,,,,,
capital ,,,,(511) ,,,,,,,(511) 
Remediciones por beneficios definidos a ,,,,,,,,,,,
los empleados ,,,,,,,,(23) ,,,(23) 
Resultado neto ,,,,,,,,,"14,674 ",,"14,674 "
Participación no controladora ,,,,,,,,,,(10) ,(10) 
TOTAL ,0 ,122 ,0 ,(511) ,(901) ,(571) ,0 ,(23) ,"14,674 ",(10) ,12.780 
SALDOS AL 30 SEPTIEMBRE DE 2020 ,"29,799 ","5,231 ","25,446 ","76,837 ","(1,276) ",(820) ,9 ,"(1,009) ","14,674 ",32 ,"151,475 "


