Table
Tabla III.1 ,,
Posiciones expuestas a riesgo de mercado por ,factor de riesgo ,
,,
Concepto ,Importe de posiciones equivalentes ,Requerimiento de capital 
Operaciones en moneda nacional con tasa nominal ,"89,786 ","7,183 "
Operaciones con títulos de deuda en moneda nacional con sobretasa y una tasa revisable ,"4,052 ",324 
Operaciones en moneda nacional con tasa real o denominados en UDI's ,"5,693 ",455 
Operaciones en moneda nacional con tasa de rendimiento referida al crecimiento del Salario Mínimo General ,"7,722 ",618 
Posiciones en UDI's o con rendimiento referido al INPC ,41 ,3 
Posiciones en moneda nacional con tasa de rendimiento referida al crecimiento del salario mínimo general ,375 ,30 
Operaciones en moneda extranjera con tasa nominal ,"87,561 ","7,005 "
Posiciones en divisas o con rendimiento indizado al tipo de cambio ,"15,650 ","1,252 "
Posiciones en acciones o con rendimiento indizado al precio de una acción o grupo de acciones ,"11,031 ",882 
Posiciones en Mercancías ,1 ,0 
Requerimiento de Capital por Impacto de Gamma y Vega ,1 ,0 


Table
Tabla III.2 ,,
Activos ponderados sujetos a riesgo de crédito ,por grupo de riesgo ,
Concepto ,Activos ponderados por riesgo ,Requerimiento de capital 
Grupo I-A (ponderados al 0%) ,0 ,0 
Grupo I-A (ponderados al 10%) ,0 ,0 
Grupo I-A (ponderados al 20%) ,0 ,0 
Grupo I-B (ponderados al 2%) ,207 ,17 
Grupo I-B (ponderados al 4.0%) ,0 ,0 
Grupo Il (ponderados al 0%) ,0 ,0 
Grupo Il (ponderados al 20%) ,"5,599 ",448 
Grupo II (ponderados al 50%) ,0 ,0 
Grupo Il (ponderados al 100%) ,"23,450 ","1,876 "
Grupo Il (ponderados al 120%) ,0 ,0 
Grupo II (ponderados al 150%) ,0 ,0 
Grupo III (ponderados al 2.5%) ,0 ,0 
Grupo III (ponderados al 10%) ,0 ,0 
Grupo III (ponderados al 11.50%) ,0 ,0 
Grupo III (ponderados al 20%) ,"31,228 ","2,498 "
Grupo III (ponderados al 23%) ,356 ,28 
Grupo III (ponderados al 25%) ,0 ,0 
Grupo III (ponderados al 28.75%) ,0 ,0 
Grupo III (ponderados al 50%) ,0 ,0 
Grupo III (ponderados al 57.5%) ,0 ,0 
Grupo III (ponderados al 60%) ,0 ,0 
Grupo III (ponderados al 75%) ,0 ,0 


