Table
Millones de pesos ,,,,% Variación ,
,Sep-20 ,Jun-20 ,Sep-19 ,TaT ,AaA 
Comercial ,"457,535 ","479,448 ","431,963 ",(4.6) ,5.9 
Empresas ,"205,863 ","214,556 ","185,567 ",(4.1) ,10.9 
Corporativos ,"91,726 ","104,834 ","93,838 ",(12.5) ,(2.3) 
Pymes ,"68,655 ","72,198 ","78,075 ",(4.9) ,(12.1) 
Entidades Gubernamentales y Entidades Financieras ,"91,291 ","87,859 ","74,482 ",3.9 ,22.6 
Individuos ,"277,795 ","271,771 ","265,363 ",2.2 ,4.7 
Consumo ,"113,058 ","112,992 ","116,630 ",0.1 ,(3.1) 
Tarjeta de crédito ,"53,296 ","54,242 ","58,960 ",(1.7) ,(9.6) 
Otros Consumo ,"59,762 ","58,750 ","57,670 ",1.7 ,3.6 
Hipotecario ,"164,737 ","158,779 ","148,733 ",3.8 ,10.8 
Total ,"735,330 ","751,219 ","697,326 ",(2.1) ,5.4 


