Table
Millones de pesos ,Importe sin ponderar (promedio) ,Importe ponderado (promedio) 
Activos Líquidos Computables ,,
1 Total de activos líquidos computables ,No aplica ,"259,611 "
Salidas de Efectivo ,,
2 Financiamiento minorista no garantizado ,"271,323 ","16,422 "
3 Financiamiento estable ,"214,209 ","10,710 "
4 Financiamiento menos estable ,"57,114 ","5,711 "
5 Financiamiento mayorista no garantizado ,"454,745 ","171,987 "
6 Depósitos operacionales ,"233,815 ","54,006 "
7 Depósitos no operacionales ,"197,956 ","95,007 "
8 Deuda no garantizada ,"22,974 ","22,974 "
9 Financiamiento mayorista garantizado ,No aplica ,403 
10 Requerimientos adicionales: ,"244,274 ","59,606 "
11 Salidas relacionadas a instrumentos financieros derivados y otros requerimientos de garantías ,"97,230 ","51,165 "
12 Salidas relacionadas a pérdidas del financiamiento de instrumentos de deuda ,0 ,0 
13 Líneas de crédito y liquidez ,"147,044 ","8,441 "
14 Otras obligaciones de financiamiento contractuales ,"92,651 ",559 
15 Otras obligaciones de financiamiento contingentes ,"8,927 ","8,927 "
16 Total de Salidas de Efectivo ,No aplica ,"257,904 "
Entradas de Efectivo ,,
17 Entradas de efectivo por operaciones garantizadas ,"69,611 ","1,711 "
18 Entradas de efectivo por operaciones no garantizadas ,"153,148 ","124,058 "
19 Otras entradas de efectivo ,"31,541 ","31,541 "
20 Total de Entradas de Efectivo ,"254,300 ","157,310 "
,,Importe ajustado 
21 Total de Activos Líquidos Computables ,No aplica ,"259,611 "
22 Total Neto de Salidas de Efectivo ,No aplica ,"100,851 "
23 Coeficiente de Coberturas de Liquidez ,No aplica ,275.11% 


Table
Escenario Probable ,(53) 
Escenario Remoto ,"(2,707) "
Escenario Posible ,"(1,303) "


