Table
,,Tabla II.2 ,,
,Conceptos regulatorios ,considerados para el cálculo ,de los componentes del Capital ,Neto 
Identificador ,Conceptos regulatorios considerados para el cálculo de los componentes del Capital Neto ,Referencia del formato de revelación de la integración de capital del apartado I del presente anexo ,Monto de conformidad con las notas a la tabla Conceptos regulatorios considerados para el cálculo de los componentes del Capital Neto ,Referencia(s) del rubro del balance general y monto relacionado con el concepto regulatorio considerado para el cálculo del Capital Neto proveniente de la referencia mencionada. 
,Activo ,,,
1 ,Crédito mercantil ,8 ,"2,404 ","BG16= 9,213 Menos: cargos diferidos y pagos anticipados 987; intangibles 6,260; otros activos que computan como activos en riesgo 1,227; Más: Intangibles que se reconocen en el pasivo 1,666 "
2 ,Otros Intangibles ,9 ,"6,260 ","BG16= 9,213 Menos: cargos diferidos y pagos anticipados 987; intangibles 2,404; otros activos que computan como activos en riesgo 1,227; Más: Intangibles que se reconocen en el pasivo 1,666 "
3 ,Impuesto a la utilidad diferida (a favor) proveniente de pérdidas y créditos fiscales ,10 ,0 ,
,Beneficios sobre el remanente en operaciones de ,,,
4 ,burzatilización ,13 ,0 ,
5 ,Inversiones del plan de pensiones por beneficios definidos sin acceso irrestricto e ilimitado ,15 ,0 ,
6 ,Inversiones en acciones de la propia institución ,16 ,0.14 ,"BG3= 552,339 Menos: Inversiones indirectas en el capital de entidades "


Table
BG36 ,Bienes en custodia o en administración ,"1,719,688 "
BG37 ,Colaterales recibidos por la entidad ,"88,352 "
BG38 ,Colaterales recibidos y vendidos o entregados en garantía por la entidad ,"47,932 "
BG39 ,Operaciones de banca de inversión por cuenta de terceros (neto) ,0 
BG40 ,Intereses devengados no cobrados derivados de cartera de crédito vencida ,482 
BG41 ,Otras cuentas de registro ,"1,476,830 "


