Table
Periodo ,Precio mínimo ,Precio máximo ,Volumen promedio (títulos) 
2015 ,49.61 ,55.87 ,"16,610,178.84 "
2016 ,34.98 ,61.09 ,"22,643,548.92 "
2017 ,55.68 ,77.10 ,"16,771,203.04 "
2018 ,49.26 ,80.08 ,"17,852,862.74 "
2019 ,52.06 ,79.89 ,"14,216,038.53 "
1° Sem. 2018 ,65.46 ,80.08 ,"17,676,368.81 "
2° Sem. 2018 ,49.26 ,74.79 ,"18,026,479.06 "
1° Sem. 2019 ,52.06 ,71.03 ,"15,779,938.14 "
2° Sem. 2019 ,61.32 ,79.89 ,"12,677,637.28 "
abril 2020 ,37.49 ,50.26 ,"32,830,879.63 "
mayo 2020 ,40.60 ,52.26 ,"29,613,447.55 "
junio 2020 ,48.39 ,61.24 ,"35,117,664.97 "
julio 2020 ,49.45 ,52.65 ,"21,531,535.16 "
agosto 2020 ,49.30 ,53.76 ,"17,742,636.77 "
septiembre 2020 ,41.85 ,52.52 ,"29,079,140.87 "


