Table
Periodo ,Precio mínimo ,Precio máximo ,Volumen promedio (títulos) 
2015 ,"3,069.05 ","3,506.45 ","556,770,252.04 "
2016 ,"2,680.35 ","3,290.52 ","670,496,806.23 "
2017 ,"3,230.68 ","3,697.40 ","480,238,812.63 "
2018 ,"2,937.36 ","3,672.29 ","495,509,098.11 "
2019 ,"2,954.66 ","3,782.27 ","450,435,611.05 "
1° Sem. 2018 ,"3,278.72 ","3,672.29 ","525,141,755.13 "
2° Sem. 2018 ,"2,937.36 ","3,527.18 ","466,359,582.24 "
1° Sem. 2019 ,"2,954.66 ","3,514.62 ","473,592,625.64 "
2° Sem. 2019 ,"3,282.78 ","3,782.27 ","427,656,156.48 "
abril 2020 ,"2,662.99 ","2,996.08 ","612,640,637.07 "
mayo 2020 ,"2,760.23 ","3,094.47 ","540,372,288.77 "
junio 2020 ,"3,077.92 ","3,384.29 ","682,957,184.27 "
julio 2020 ,"3,174.32 ","3,405.35 ","391,246,245.45 "
agosto 2020 ,"3,174.32 ","3,363.18 ","373,461,644.61 "
septiembre 2020 ,"3,137.06 ","3,338.84 ","503,474,651.70 "


