Table
Millones de pesos ,,3T20 ,,,3T19 ,,,Variación AaA ,
,Saldo promedio ,Interés ,Tasa (%) ,Saldo promedio ,Interés ,Tasa (%) ,Saldo promedio (%) ,Interés (%) ,Tasa (pb) 
Depósitos de exigibilidad inmediata ,"484,210 ","2,123 ",1.72 ,"431,526 ","3,299 ",2.99 ,12.2 ,(35.6) ,(127) 
Depósitos a plazo ,"312,516 ","3,507 ",4.39 ,"271,368 ","4,704 ",6.78 ,15.2 ,(25.4) ,(239) 
Titulos de crédito emitidos ,"87,706 ","1,324 ",5.91 ,"54,608 ",893 ,6.40 ,60.6 ,48.3 ,(49) 
Préstamos bancarios y de ,,,,,,,,,
otros organismos ,"48,759 ",791 ,6.35 ,"53,055 ","1,098 ",8.10 ,(8.1) ,(28.0) ,(175) 
Obligaciones subordinadas ,"28,701 ",454 ,6.19 ,"25,257 ",402 ,6.23 ,13.6 ,12.9 ,(4) 
Reportos ,"316,955 ","3,215 ",3.97 ,"187,467 ","3,480 ",7.26 ,69.1 ,(7.6) ,(329) 
Gastos por intereses ,"1,278,847 ","11,414 ",3.49 ,"1,023,281 ","13,876 ",5.31 ,25.0 ,(17.7) ,(182) 


