Table
,Tabla Principales características de los títulos ,IV.1.4 que forman parte del Capital Neto 
Referencia ,Característica ,Opciones 
1 ,Emisor ,"Banco Santander México, S. A., Institución de Banca Múltiple, Grupo Financiero Santander México. "
2 ,"Identificador ISIN, CUSIP o Bloomberg ",ISIN: US40053CAA36 CUSIP: 40053C/ AA3 Clave de Pizarra BMV: BSMX 17 
3 ,Ley Aplicable ,"Los Instrumentos han sido emitidos, y se rigen, conforme a las leyes aplicables del estado de Nueva York, Estados Unidos de América, en el entendido que todas las disposiciones relacionadas con la determinación de la cancelación del pago de intereses, la conversión de los Instrumentos, si ha ocurrido cualquier evento que permita una amortización o la subordinación de los Instrumentos, entre otros eventos relevantes, se regirán de conformidad con las leyes de México, conforme a lo previsto en el Acta de Emisión. "
,Tratamiento Regulatorio ,
4 ,"Nivel de capital al que corresponde el título que está sujeto a la transitoriedad establecida de conformidad con el Artículo Tercero Transitorio, de la Resolución 50a. ",N.A. 
5 ,"Nivel de capital al que corresponde el título que cumple con el anexo 1-Q, 1-R, o 1-S de la Circular Única de Bancos ",Capital Básico No Fundamental o Capital Básico 2. 
6 ,Nivel del instrumento dentro del Grupo ,Deuda Subordinada emitida desde la Institución de Crédito del Grupo. 
7 ,Tipo de instrumento ,"Instrumentos de capital emitidos conforme a legislación extranjera, conocidos como obligaciones subordinadas, no preferentes, perpetuas y susceptibles de ser convertidas en acciones. "
8 ,Monto del Instrumento reconocido como capital regulatorio ,"Ps.9, 018,160,682.00 "
9 ,Valor nominal del instrumento ,"Ps. 11,071,900,000 (USD $500,000,000.00) "
9A ,Denominación del instrumento ,USD. 
10 ,Clasificación contable del instrumento ,"El principal se contabiliza como deuda, los cupones que se paguen como capital. "
11 ,Fecha de emisión ,23 de diciembre de 2016. 
12 ,Tipo de Vencimiento ,Perpetuidad. 
13 ,Fecha de vencimiento ,"Los Instrumentos de Capital son perpetuos y, por lo tanto, no tienen fecha de vencimiento. "
14 ,Cláusula de pago anticipado ,"Sujeto a ciertas condiciones, incluyendo, más no limitado a, la autorización previa de Banco de México, el Emisor podrá pagar anticipadamente el Instrumento a par, más los intereses devengados y no pagados a la fecha en que pretenda realizar dicho pago, más Pagos Adicionales, en su caso, (i) por el valor total o un monto parcial en una Fecha de Pago Anticipado Voluntario, o (ii) en su totalidad y en cualquier fecha de presentarse un Evento de Amortización Anticipada por Razones Fiscales o un Evento de Amortización por Razones Especiales. "
15 ,Primera fecha de amortización anticipada voluntaria ,"Enero 20, 2022. "
15A ,La cláusula de amortización anticipada ¿incluye la existencia de una amortización anticipada ,Si. Evento de Amortización Anticipada por Razones Fiscales 


