Table
Ticker ,Nombre ,Ticker ,Nombre ,Ticker ,Nombre 
QRVO UW Equity ,Qorvo Inc ,TAP UN Equity ,Molson Coors Brewing Co ,MA UN Equity ,Mastercard Inc 
CTL UN Equity ,CenturyLink Inc ,KLAC UW Equity ,KLA-Tencor Corp Marriott ,KMX UN Equity ,CarMax Inc 
UDR UN Equity ,UDR Inc ,MAR UW Equity ,International Inc/MD ,ICE UN Equity ,Intercontinental Exchange Inc 
CLX UN Equity ,Clorox Co/The ,MKC UN Equity ,McCormick & Co Inc/MD ,FIS UN Equity ,Fidelity National Information Services I 
CMS UN Equity ,CMS Energy Corp ,JWN UN Equity ,Nordstrom Inc ,CMG UN Equity ,Chipotle Mexican Grill Inc 
NWL UW Equity ,Newell Brands Inc ,PCAR UW Equity ,PACCAR Inc ,WYNN UW Equity ,Wynn Resorts Ltd 
CL UN Equity ,Colgate- Palmolive Co ,COST UW Equity ,Costco Wholesale Corp ,AIZ UN Equity ,Assurant Inc 
CMA UN Equity ,Comerica Inc ,FRC UN Equity ,First Republic Bank/CA ,NRG UN Equity ,NRG Energy Inc 
IPGP UW Equity ,IPG Photonics Corp ,SYK UN Equity ,Stryker Corp ,RF UN Equity ,Regions Financial Corp 
CAG UN Equity ,Conagra Brands Inc ,TSN UN Equity ,Tyson Foods Inc ,MNST UW Equity ,Monster Beverage Corp 
ED UN Equity ,Consolidated Edison Inc ,LW UN Equity ,Lamb Weston Holdings Inc ,MOS UN Equity ,Mosaic Co/The 
SLG UN Equity ,SL Green Realty Corp ,AMAT UW Equity ,Applied Materials Inc ,EXPE UW Equity ,Expedia Group Inc 
GLW UN Equity ,Corning Inc ,AAL UW Equity ,American Airlines Group Inc ,EVRG UN Equity ,Evergy Inc 
CMI UN Equity ,Cummins Inc ,CAH UN Equity ,Cardinal Health Inc ,DISCA UW Equity ,Discovery Inc 
DHR UN Equity ,Danaher Corp ,CELG UW Equity ,Celgene Corp ,CF UN Equity ,CF Industries Holdings Inc 
TGT UN Equity ,Target Corp ,CERN UW Equity ,Cerner Corp ,VIAB UW Equity ,Viacom Inc 
DE UN Equity ,Deere & Co ,CINF UW Equity ,Cincinnati Financial Corp ,GOOG UW Equity ,Alphabet Inc 
D UN Equity ,Dominion Energy Inc ,DHI UN Equity ,DR Horton Inc ,COO UN Equity ,Cooper Cos Inc/The 
DOV UN Equity ,Dover Corp ,FLS UN Equity ,Flowserve Corp ,TEL UN Equity ,TE Connectivity Ltd 
LNT UW Equity ,Alliant Energy Corp ,EA UW Equity ,Electronic Arts Inc ,DFS UN Equity ,Discover Financial Services 
DUK UN Equity ,Duke Energy Corp ,EXPD UW Equity ,Expeditors International of Washington I ,TRIP UW Equity ,TripAdvisor Inc 
REG UW Equity ,Regency Centers Corp ,FAST UW Equity ,Fastenal Co ,VUN Equity ,Visa Inc 
ETN UN Equity ,Eaton Corp PLC ,MTB UN Equity ,M&T Bank Corp ,MAA UN Equity ,Mid-America Apartment Communities Inc 
ECL UN Equity ,Ecolab Inc ,XEL UW Equity ,Xcel Energy Inc ,XYL UN Equity ,Xylem Inc/NY 
PKI UN Equity ,PerkinElmer Inc ,FISV UW Equity ,Fiserv Inc ,MPC UN Equity ,Marathon Petroleum Corp 
EMR UN Equity ,Emerson Electric Co ,FITB UW Equity ,Fifth Third Bancorp ,TSCO UW Equity ,Tractor Supply Co 
EOG UN Equity ,EOG Resources Inc ,GILD UW Equity ,Gilead Sciences Inc ,AMD UW Equity ,Advanced Micro Devices Inc 
ETR UN Equity ,Entergy Corp ,HAS UW Equity ,Hasbro Inc ,RMD UN Equity ,ResMed Inc 


