Table
Ticker ,Nombre ,Ticker ,Nombre ,Ticker ,Nombre 
RCL UN Equity ,Royal Caribbean Cruises Ltd American ,TIF UN Equity ,Tiffany & Co ,AKAM UW Equity ,Akamai Technologies Inc 
AEP UN Equity ,Electric Power Co Inc ,TJX UN Equity ,TJX Cos Inc/The ,MKTX UW Equity ,MarketAxess Holdings Inc 
HES UN Equity ,Hess Corp ,TMK UN Equity ,Torchmark Corp ,DVN UN Equity ,Devon Energy Corp 
APC UN Equity ,Anadarko Petroleum Corp ,TSS UN Equity ,Total System Services Inc ,GOOGL UW Equity ,Alphabet Inc 
AON UN Equity ,Aon PLC ,JCI UN Equity ,Johnson Controls International plc ,TFX UN Equity ,Teleflex Inc 
APA UN Equity ,Apache Corp ,ULTA UW Equity ,Ulta Beauty Inc ,RHT UN Equity ,Red Hat Inc 
ADM UN Equity ,Archer-Daniels- Midland Co ,UNP UN Equity ,Union Pacific Corp ,NFLX UW Equity ,Netflix Inc 
ADP UW Equity ,Automatic Data Processing Inc ,KEYS UN Equity ,Keysight Technologies Inc ,ALLE UN Equity ,Allegion PLC 
VRSK UW Equity ,Verisk Analytics Inc ,UNH UN Equity ,UnitedHealth Group Inc ,A UN Equity ,Agilent Technologies Inc 
AZO UN Equity ,AutoZone Inc ,UNM UN Equity ,Unum Group ,ANTM UN Equity ,Anthem Inc 
AVY UN Equity ,Avery Dennison Corp ,MRO UN Equity ,Marathon Oil Corp ,CME UW Equity ,CME Group Inc 
MSCI UN Equity ,MSCI Inc ,VAR UN Equity ,Varian Medical Systems Inc ,JNPR UN Equity ,Juniper Networks Inc 
BLL UN Equity ,Ball Corp ,VTR UN Equity ,Ventas Inc ,BLK UN Equity ,BlackRock Inc 
,Bank of New ,,,,
BK UN Equity ,York Mellon Corp/The ,VFC UN Equity ,VF Corp ,DTE UN Equity ,DTE Energy Co 
BAX UN Equity ,Baxter International Inc ,VNO UN Equity ,Vornado Realty Trust ,NDAQ UW Equity ,Nasdaq Inc 
BDX UN Equity ,Becton Dickinson and Co ,VMC UN Equity ,Vulcan Materials Co ,CE UN Equity ,Celanese Corp 
BRK/B UN Equity ,Berkshire Hathaway Inc ,WY UN Equity ,Weyerhaeuser Co ,PM UN Equity ,Philip Morris International Inc 
BBY UN Equity ,Best Buy Co Inc ,WHR UN Equity ,Whirlpool Corp ,CRM UN Equity ,salesforce.com Inc 
HRB UN Equity ,H&R Block Inc ,WMB UN Equity ,Williams Cos Inc/The ,HII UN Equity ,Huntington Ingalls Industries Inc 
BSX UN Equity ,Boston Scientific Corp ,WEC UN Equity ,WEC Energy Group Inc ,MET UN Equity ,MetLife Inc 
BMY UN Equity ,Bristol-Myers Squibb Co Fortune Brands ,XRX UN Equity ,Xerox Corp ,UA UN Equity ,Under Armour Inc 
FBHS UN Equity ,Home & Security Inc ,ADBE UW Equity ,Adobe Inc ,TPR UN Equity ,Tapestry Inc 
BF/B UN Equity ,Brown-Forman Corp ,AES UN Equity ,AES Corp/VA ,CSX UW Equity ,CSX Corp 
COG UN Equity ,Cabot Oil & Gas Corp ,AMGN UW Equity ,Amgen Inc ,EW UN Equity ,Edwards Lifesciences Corp 
CPB UN Equity ,Campbell Soup Co ,AAPL UW Equity ,Apple Inc ,AMP UN Equity ,Ameriprise Financial Inc 
KSU UN Equity ,Kansas City Southern Hilton ,ADSK UW Equity ,Autodesk Inc ,FTI UN Equity ,TechnipFMC PLC 
HLT UN Equity ,Worldwide Holdings Inc ,CTAS UW Equity ,Cintas Corp ,ZBH UN Equity ,Zimmer Biomet Holdings Inc 
CCL UN Equity ,Carnival Corp ,CMCSA UW Equity ,Comcast Corp ,CBRE UN Equity ,CBRE Group Inc 


