Table
Millones de pesos ,Criterios Contables Especiales ,Criterio Contable B-6 
Créditos a la vivienda ,,
Media y residencial ,"59,564 ","57,192 "
De interés social ,3 ,3 
Créditos adquiridos al INFONAVIT o el FOVISSSTE ,298 ,298 
Total de cartera de crédito vigente ,"59,865 ","57,493 "
Créditos a la vivienda ,,
Media y residencial ,"2,443 ","4,711 "
De interés social ,2 ,2 
Créditos adquiridos al INFONAVIT el FOVISSSTE ,46 ,46 
Total de cartera de crédito vencida ,"2,491 ","4,759 "
Cartera de crédito ,"62,356 ","62,252 "
(-) Menos: ,,
Estimación preventiva para riesgos crediticios ,,
Créditos a la vivienda ,,
Media y residencial ,"(1,683) ","(1,637) "
De interés social ,0 ,0 
Créditos adquiridos al INFONAVIT o el FOVISSSTE ,(9) ,(9) 
Total de estimación preventiva para riesgos crediticios ,"(1,692) ","(1,646) "
Total de cartera de crédito (Neto) ,"60,664 ","60,606 "


Table
Créditos adquiridos al INFONAVIT o el FOVISSSTE ,0 ,0 
Total ,"24,078 ","32,852 "


