Table
Millones de pesos ,,
,Criterios Contables Especiales ,Criterio Contable B-6 
Créditos de consumo ,190 ,163 
Total de cartera de crédito vigente ,190 ,163 
Créditos de consumo ,15 ,34 
Total de cartera de crédito vencida ,15 ,34 
Cartera de crédito ,205 ,197 
(-) Menos: ,,
Estimación preventiva para riesgos crediticios ,,
Créditos de consumo ,(41) ,(37) 
Total de estimación preventiva para riesgos crediticios ,(41) ,(37) 
Total de cartera de crédito (Neto) ,164 ,160 


Table
Millones de pesos ,,
,Criterios Contables Especiales ,Criterio Contable B-6 
Ingresos por intereses ,144 ,136 
De los cuales: ,,
Intereses de cartera de crédito: ,,
Créditos de consumo ,144 ,136 
Total de ingresos por intereses de cartera de crédito ,144 ,136 
Estimación preventiva para riesgos crediticios ,,
Créditos de consumo ,(56) ,(52) 
Total de estimación preventiva para riesgos crediticios ,(56) ,(52) 


Table
Criterios Contables Especiales ,14.77% 
Criterio Contable B-6 ,13.58% 
,(119) pb 


