Table
,"Las inversiones en acciones, distintas del capital fijo, de fondos de inversión cotizadas en las que la Institución mantenga más del 15 por ciento del capital contable del citado fondo de inversión, conforme a la fracción I inciso i) del Artículo 2 Bis 6, que "
18 ,no hayan sido consideradas en las referencias anteriores. 
19 ,"Cualquier tipo de aportación cuyos recursos se destinen a la adquisición de acciones de la sociedad controladora del grupo financiero, de las demás entidades financieras integrantes del grupo al que pertenezca la Institución o de las filiales financieras de estas conforme a lo establecido en la fracción I incisos l) del Artículo 2 Bis 6 de las presentes disposiciones. "
20 ,Cargos diferidos y pagos anticipados. 
21 ,La participación de los trabajadores en las utilidades diferidas a favor conforme a la fracción I inciso p) del Artículo 2 Bis 6 de las presentes disposiciones. 
22 ,Inversiones del plan de pensiones por beneficios definidos que tengan ser deducidas de acuerdo con el Artículo 2 Bis 8 de las presentes disposiciones. 
23 ,"Las inversiones o aportaciones, directa o indirectamente, en el capital de empresas o en el patrimonio de fideicomisos u otro tipo de figuras similares que tengan por finalidad compensary liquidar Operaciones celebradas en bolsa, salvo la participación de dichas empresas o fideicomisos en esta última de conformidad con el inciso f) fracción I del Artículo 2 Bis 6. "
24 ,Impuestos a la utilidad diferidos a cargo provenientes de diferencias temporales asociados al crédito mercantil. 
25 ,Impuestos a la utilidad diferidos a cargo provenientes de diferencias temporales asociados a otros intangibles (distintos al crédito mercantil). 
26 ,Pasivos del plan de pensiones por beneficios definidos asociados a inversiones del plan de pensiones por beneficios definidos. 
27 ,Impuestos a la utilidad diferidos a cargo provenientes de diferencias temporales asociados al plan de pensiones por beneficios definidos. 
28 ,"Impuestos a la utilidad diferidos a cargo provenientes de diferencias temporales distintos los de las referencias 24, 25, 27 y 33. "
29 ,Monto de obligaciones subordinadas que cumplen con el Anexo 1-R de las presentes disposiciones. 
30 ,Monto de obligaciones subordinadas sujetas a transitoriedad que computan como Capital Básico No Fundamental. 
31 ,Monto de obligaciones subordinadas que cumplen con el Anexo 1-S de las presentes disposiciones. 
32 ,Monto de obligaciones subordinadas sujetas a transitoriedad que computan como capital complementario. 
33 ,Impuestos a la utilidad diferidos a cargo provenientes de diferencias temporales asociados a cargos diferidos y pagos anticipados. 
34 ,Monto del capital contribuido que satisface lo establecido en el Anexo 1-Q de las presentes disposiciones. 
35 ,Resultado de ejercicios anteriores. 
36 ,Resultado por valuación de instrumentos de cobertura de flujo de efectivo de partidas cubiertas valuadas a valor razonable. 
37 ,Resultado neto y resultado por valuación de títulos disponibles para la venta. 
38 ,Monto del capital contribuido que satisface lo establecido en el Anexo 1-R de las presentes disposiciones. 
39 ,Monto del capital contribuido que satisface lo establecido en el Anexo 1-S de las presentes disposiciones. 
40 ,Resultado por valuación de instrumentos para cobertura de flujo de efectivo de partidas cubiertas valuadas a costo amortizado. 
41 ,Efecto acumulado por conversión. 
42 ,Resultado por tenencia de activos no monetarios. 
43 ,Posiciones relacionadas con el Esquema de Primeras Pérdidas en los que se conserva el riesgo o se proporciona protección crediticia hasta cierto límite de una posición conforme a la fracción I inciso o) del Artículo 2 Bis 6. 
44 ,Reservas pendientes de constituir conforme a lo establecido en la fracción I inciso k) del Artículo 2 Bis 6 de las presentes disposiciones. 
45 ,"El monto que resulte si con motivo de la adquisición de posiciones de bursatilización, las Instituciones originadoras registran una utilidad o un incremento en el valor de sus activos respecto de los activos anteriormente registrados en su balance, conforme a lo establecido en la fracción I inciso c) del Artículo 2 Bis 6 de las presentes disposiciones. "
46 ,"Operaciones que contravengan las disposiciones, conforme a lo establecido en la fracción I inciso m) del Artículo 2 Bis 6 de las presentes disposiciones. "


