Table
Millones de pesos ,,
,Criterios Contables Especiales ,Criterio Contable B-6 
Ingresos por intereses ,"4,571 ","4,467 "
De los cuales: ,,
Intereses de cartera de crédito: ,,
Créditos a la vivienda ,,
Media y residencial ,"4,535 ","4,431 "
De interés social ,1 ,1 
Créditos adquiridos al INFONAVIT oel FOVISSSTE ,29 ,29 
Total de ingresos por intereses de cartera de crédito ,"4,565 ","4,461 "
Estimación preventiva para riesgos crediticios ,,
Créditos a la vivienda ,,
Media y residencial ,"(1,054) ","(1,008) "
De interés social ,1 ,1 
Créditos adquiridos al INFONAVIT el FOVISSSTE ,0 ,0 
Total de estimación preventiva para riesgos crediticios ,"(1,053) ","(1,007) "


