Table
Cartera de crédito vencida: ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,26 ,26 
Créditos de consumo ,"1,983 ","3,138 "
Total de cartera de crédito vencida ,"2,009 ","3,164 "
Cartera de crédito ,"77,758 ","77,614 "
(-) Menos: ,,
Estimación preventiva para riesgos crediticios ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,(45) ,(45) 
Créditos de consumo ,"(9,700) ","(9,122) "
Total de estimación preventiva para riesgos crediticios ,"(9,745) ","(9,167) "
Total de cartera de crédito (Neto) ,"68,013 ","68,447 "


Table
Millones de pesos ,,
,Criterios Contables ,Criterio Contable 
,Especiales ,B-6 
Ingresos por intereses ,"14,464 ","14,320 "
Intereses de cartera de crédito: ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,86 ,86 
Créditos de consumo ,"14,378 ","14,234 "
Total de ingresos por intereses de cartera de crédito ,"14,464 ","14,320 "
Estimación preventiva para riesgos crediticios ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,(47) ,(47) 
Créditos de consumo ,"(7,706) ","(7,128) "
Total de estimación preventiva para riesgos crediticios ,"(7,753) ","(7,175) "


Table
Índice de capitalización ,
Criterios Contables Especiales ,26.90% 
Criterio Contable B-6 ,27.17% 
,27 pb 


