Table
Porcentajes ,3T20 ,2T20 ,3T19 ,9M20 ,9M19 
Índice de morosidad ,2.09 ,2.51 ,2.33 ,2.09 ,2.33 
Índice de cobertura de cartera de crédito vencida ,167.94 ,138.81 ,130.82 ,167.94 ,130.82 
Eficiencia operativa ,2.20 ,2.06 ,2.77 ,2.10 ,2.69 
ROE ,13.50 ,11.77 ,16.14 ,13.13 ,16.00 
ROA ,1.06 ,0.91 ,1.56 ,1.03 ,1.55 
Índice de capitalización desglosado: ,,,,,
Riesgo de crédito ,26.31 ,25.46 ,23.76 ,26.31 ,23.76 
"Riesgo de crédito, mercado y operacional ",17.16 ,16.69 ,16.89 ,17.16 ,16.89 
Liquidez ,118.03 ,110.73 ,91.33 ,118.03 ,91.33 
MIN ,2.68 ,1.82 ,3.90 ,2.40 ,3.91 


