Table
Millones de pesos ,,,,% Variación ,,,,% Variación 
,3T20 ,2T20 ,3T19 ,TaT ,AaA ,9M20 ,9M19 ,20/19 
Margen financiero ,"16,089 ","15,931 ","16,589 ",1.0 ,(3.0) ,"48,916 ","49,626 ",(1.4) 
Estimación preventiva para riesgos crediticios ,"(4,596) ","(8,350) ","(4,478) ",(45.0) ,2.6 ,"(18,111) ","(13,250) ",36.7 
Margen financiero ajustado por riesgos crediticios ,"11,493 ","7,581 ","12,111 ",51.6 ,(5.1) ,"30,805 ","36,376 ",(15.3) 
Comisiones y tarifas (neto) ,"4,690 ","4,598 ","4,580 ",2.0 ,2.4 ,"13,985 ","13,703 ",2.1 
Resultado por intermediación ,"1,292 ","3,283 ","1,101 ",(60.6) ,17.3 ,"5,458 ","1,997 ",173.3 
Otros ingresos de la operación ,(409) ,(232) ,(582) ,76.3 ,(29.7) ,(853) ,"(1,573) ",(45.8) 
Gastos de administración y operación ,"(10,429) ","(9,599) ","(9,783) ",8.6 ,6.6 ,"(29,813) ","(28,521) ",4.5 
Resultado de operación ,"6,637 ","5,631 ","7,427 ",17.9 ,(10.6) ,"19,582 ","21,982 ",(10.9) 
Participación en el resultado de asociadas ,60 ,35 ,0 ,71.4 ,0.0 ,99 ,0 ,0.0 
Resultado antes de impuestos a la utilidad ,"6,697 ","5,666 ","7,427 ",18.2 ,(9.8) ,"19,681 ","21,982 ",(10.5) 
Impuestos a la utilidad (neto) ,"(1,667) ","(1,436) ","(1,910) ",16.1 ,(12.7) ,"(5,007) ","(5,566) ",(10.0) 
Utilidad neta mayoritaria ,"5,030 ","4,230 ","5,517 ",18.9 ,(8.8) ,"14,674 ","16,416 ",(10.6) 
Tasa efectiva de impuestos (%) ,24.89 ,25.34 ,25.72 ,,,25.44 ,25.32 ,


