Table
Nivel de mercado ,Valor observado ,Pago de derechos 
1.00 ,38.37 ,Ps. 90.00 
6.00 ,230.19 ,Ps. 90.00 
11.00 ,422.02 ,Ps. 90.00 
16.00 ,613.85 ,Ps. 90.00 
21.00 ,805.67 ,Ps. 90.00 
26.00 ,997.50 ,Ps. 90.00 
31.00 ,1189.33 ,Ps. 90.00 
36.00 ,1381.15 ,Ps. 90.00 
41.00 ,1572.98 ,Ps. 90.00 
46.00 ,1764.81 ,Ps. 90.00 
51.00 ,1956.64 ,Ps. 90.00 
56.00 ,2148.46 ,Ps. 90.00 
61.00 ,2340.29 ,Ps. 90.00 
66.00 ,2532.12 ,Ps. 90.00 
71.00 ,2723.94 ,Ps. 90.00 
76.00 ,2915.77 ,Ps. 90.00 


