Table
Nivel de mercado ,Valor observado (vo) ,Pago de derechos a vencimiento 
52.21 ,129.00 ,Ps.110.00 
54.23 ,134.00 ,Ps.110.00 
56.25 ,139.00 ,Ps.110.00 
58.28 ,144.00 ,Ps.110.00 
60.30 ,149.00 ,Ps.110.00 
62.32 ,154.00 ,Ps.110.00 
64.35 ,159.00 ,Ps.110.00 
66.37 ,164.00 ,Ps.110.00 
68.39 ,169.00 ,Ps.110.00 
70.42 ,174.00 ,Ps.110.00 
72.44 ,179.00 ,Ps.110.00 
74.46 ,184.00 ,Ps.110.00 
76.49 ,189.00 ,Ps.110.00 
78.51 ,194.00 ,Ps.110.00 
80.54 ,199.00 ,Ps.110.00 
82.56 ,204.00 ,Ps.110.00 
84.58 ,209.00 ,Ps.110.00 
86.61 ,214.00 ,Ps.110.00 
88.63 ,219.00 ,Ps.110.00 


Table
Nivel de mercado ,Valor observado (VO) ,Pago de derechos a vencimiento 
0 ,0 ,Ps.90.00 
2.00 ,5.00 ,Ps.90.00 
4.01 ,10.00 ,Ps.90.00 
6.01 ,15.00 ,Ps.90.00 
8.01 ,20.00 ,Ps.90.00 
10.01 ,25.00 ,Ps.90.00 
12.02 ,30.00 ,Ps.90.00 


