Table
Millones de pesos ,,,,% Variación ,,,,% Variación 
,3T20 ,2T20 ,3T19 ,TaT ,AaA ,9M20 ,9M19 ,20/19 
Remuneraciones y prestaciones al ,,,,,,,,
personal ,"3,762 ","3,555 ","4,012 ",5.8 ,(6.2) ,"11,239 ","11,855 ",(5.2) 
Tarjeta de crédito ,55 ,57 ,72 ,(3.5) ,(23.6) ,161 ,239 ,(32.6) 
Honorarios profesionales ,327 ,245 ,279 ,33.5 ,17.2 ,734 ,449 ,63.5 
Rentas ,633 ,659 ,585 ,(3.9) ,8.2 ,"1,942 ","1,802 ",7.8 
Gastos de promoción y publicidad ,254 ,205 ,215 ,23.9 ,18.1 ,674 ,682 ,(1.2) 
Impuestos y derechos ,464 ,494 ,501 ,(6.1) ,(7.4) ,"1,657 ","1,489 ",11.3 
Gastos de tecnología ,"1,454 ","1,181 ","1,115 ",23.1 ,30.4 ,"3,660 ","2,862 ",27.9 
Depreciaciones y amortizaciones ,"1,090 ",993 ,868 ,9.8 ,25.6 ,"3,098 ","2,694 ",15.0 
Aportaciones al IPAB ,"1,000 ","1,049 ",852 ,(4.7) ,17.4 ,"2,883 ","2,512 ",14.8 
Traslado de valores ,411 ,227 ,253 ,81.1 ,62.5 ,998 ,899 ,11.0 
Otros ,979 ,934 ,"1,031 ",4.8 ,(5.0) ,"2,767 ","3,038 ",(8.9) 
Total ,"10,429 ","9,599 ","9,783 ",8.6 ,6.6 ,"29,813 ","28,521 ",4.5 


Table
,3T20 ,2T20 ,3T19 ,9M20 ,9M19 
Personal ,36.1 ,37.0 ,41.0 ,37.7 ,41.6 
Gastos de tecnología ,13.9 ,12.3 ,11.4 ,12.3 ,10.0 
Depreciación y amortización ,10.5 ,10.3 ,8.9 ,10.4 ,9.4 
IPAB ,9.6 ,10.9 ,8.7 ,9.7 ,8.8 
Otros ,9.4 ,9.7 ,10.5 ,9.3 ,10.7 
Rentas ,6.1 ,6.9 ,6.0 ,6.5 ,6.3 
Impuestos y derechos ,4.5 ,5.2 ,5.1 ,5.6 ,5.2 
Traslado de valores ,3.9 ,2.4 ,2.6 ,3.3 ,3.2 
Honorarios profesionales ,3.1 ,2.6 ,2.9 ,2.5 ,1.6 
Gastos de promoción y publicidad ,2.4 ,2.1 ,2.2 ,2.3 ,2.4 
Tarjeta de crédito ,0.5 ,0.6 ,0.7 ,0.4 ,0.8 
Total ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 


