Table
18 ,Inversiones en fondos de inversión ,26-G ,0 ,
19 ,Financiamiento para la adquisición de acciones propias ,26 H ,0 ,
20 ,Cargos diferidos y pagos anticipados ,26 J ,987 ,"BG16= 9,213 Menos: intangibles 8,665; otros activos que computan como activos en riesgo 1,227; Más: Intangibles que se reconocen en el pasivo 1,666 "
21 ,Participación de los trabajadores en las utilidades diferida (neta) ,26 L ,0 ,
22 ,Inversiones del plan de pensiones por beneficios definidos ,26 - N ,0 ,
23 ,Inversiones en cámaras de compensación ,26 P ,528 ,"BG13= 38,060 Menos: inversiones permanentes en subsidiarias 33,464; inversiones permanentes en asociadas 1,032; otras inversiones que computan como activo en riesgo 3,036 "
,Pasivo ,,,
24 ,Impuestos a la utilidad diferida (a cargo) asociados al crédito mercantil ,8 ,,
25 ,Impuestos a la utilidad diferida (a cargo) asociados a otros intangibles ,9 ,,
26 ,Pasivos del plan de pensiones por beneficios definidos sin acceso irrestricto e ilimitado ,15 ,,
27 ,Impuestos a la utilidad diferida (a cargo) asociados al plan de pensiones por beneficios definidos ,15 ,,
28 ,Impuestos a la utilidad diferida (a cargo) asociados a otros distintos a los anteriores ,21 ,,
29 ,Obligaciones subordinadas monto que cumple con el Anexo 1-R ,31 ,,
30 ,Obligaciones subordinadas sujetas a transitoriedad que computan como Capital No Fundamental ,33 ,,
31 ,Obligaciones subordinadas monto que cumple con el Anexo 1-S ,46 ,,


