Table
PASIVOS YCAPITAL ,Holding ,Banorte ,Ahorroy Previsión ,Arrendadora Factor ,Almacenadora ,Casa de Bolsa Banorte 
Captación de Recursos ,- ,"835,542 ",- ,- ,- ,- 
Depósitos exigibilidad inmediata ,- ,"545,953 ",- ,- ,- ,- 
Depósitos a plazo ,- ,"255,013 ",- ,- ,- ,- 
Depósitos a plazo-Del Público en General ,- ,"246,944 ",- ,- ,- ,- 
Depósitos a plazo-Mercado de Dinero ,- ,"8,069 ",- ,- ,- ,- 
Títulos de crédito emitidos ,- ,"31,937 ",- ,- ,- ,- 
Cuenta global de captación sin movimientos ,- ,"2,639 ",- ,- ,- ,- 
Préstamos de Bancos y otros ,- ,"14,856 ",- ,"33,438 ",709 ,- 
De exigibilidad inmediata ,- ,0 ,- ,- ,- ,- 
De corto plazo ,- ,"8,224 ",- ,"26,108 ",709 ,- 
De largo plazo ,- ,"6,632 ",- ,"7,330 ",- ,- 
Reservas Técnicas ,- ,- ,"200,391 ",- ,- ,- 
Valores asignados por liquidar ,- ,- ,- ,- ,- ,- 
Acreedores por reporto ,- ,"113,047 ",- ,- ,- ,"277,530 "
Colaterales vendidos o dados en garantía ,- ,19 ,- ,- ,- ,13 
Derivados con fines de negociación ,- ,"24,508 ",- ,- ,- ,- 
Derivados con fines de cobertura ,- ,"5,566 ",- ,- ,- ,- 
Ajustes de valuación por cobertura de pasivos financieros ,- ,- ,- ,- ,- ,- 
Cuentas por pagar a Reaseguradores y Reafianzadores (Neto) ,- ,- ,"3,145 ",- ,- ,- 
Otras Cuentas por pagar ,0 ,"43,300 ","3,270 ","1,272 ",32 ,"1,448 "
Impuestos a la Utilidad por pagar ,- ,"1,220 ",368 ,74 ,16 ,218 
Participación de los trabajadores en la utilidad ,- ,187 ,- ,- ,- ,- 
Acreedores por liquidación de operaciones ,0 ,"3,140 ",- ,- ,- ,888 
Acreedores por colaterales recibidos en efectivo ,- ,"2,848 ",- ,- ,- ,- 
Acreedores Diver. yotras ctas. p/pagar ,0 ,"35,904 ","2,902 ","1,197 ",16 ,342 
Obligaciones subordinadas en circulación ,- ,"58,759 ",- ,- ,- ,- 
Impuestos diferidos (Neto) ,- ,- ,"2,623 ",- ,- ,103 
Créditos diferidos y Cobros Anticipados ,- ,"1,183 ",56 ,107 ,- ,1 
TOTAL PASIVOS ,0 ,"1,096,778 ","209,484 ","34,816 ",741 ,"279,094 "
CAPITAL ,,,,,,
Capital contribuido ,"62,779 ","21,871 ","21,370 ","12,310 ",87 ,"2,061 "
Capital Social ,"14,941 ","18,795 ","15,776 ","12,294 ",87 ,"1,985 "
Prima en venta de acciones ,"47,838 ","3,076 ","5,594 ",16 ,- ,77 
Aportaciones para futuros aumentos de capital acordadas por su órgano de gobierno ,- ,- ,- ,- ,- ,- 
Capital Ganado ,"164,501 ","115,368 ","16,062 ","(2,900) ",205 ,"3,117 "
Reservas de capital ,"9,719 ","18,959 ",916 ,643 ,56 ,296 
Resultado de ejercicios anteriores ,"148,415 ","92,748 ","13,411 ","(3,802) ",140 ,"2,291 "
Res. por valuación de títulos disponibles para la venta ,"2,227 ","2,213 ",77 ,- ,- ,81 
Res. por valuación de instrumentos de cobertura de flujos de efectivo ,"(2,214) ","(2,255) ",- ,- ,- ,- 
Resultado en la Valuación de la Reserva de Riesgos en curso por variaciones en las tasas ,(110) ,- ,(109) ,- ,- ,- 
Efecto acumulado por conversión ,166 ,32 ,- ,- ,- ,135 
Exceso (insuf.) en la actualiz. del Cap. Cont. ,- ,- ,- ,- ,- ,- 
Remediciones por beneficios definidos a los empleados ,"(2,229) ","(2,303) ",10 ,- ,- ,- 
Resultado neto ,"8,527 ","5,974 ","1,758 ",259 ,9 ,314 
Capital Mayoritario ,"227,280 ","137,239 ","37,432 ","9,409 ",292 ,"5,178 "
Participación no controladora ,- ,3 ,326 ,184 ,0 ,- 
Total Capital Contable ,"227,280 ","137,242 ","37,759 ","9,593 ",292 ,"5,178 "
TOTAL PASIVOS Y CAPITAL ,"227,280 ","1,234,021 ","247,243 ","44,410 ","1,033 ","284,273 "


