Table
Activos Sujetos a Riesgo ,,,,Var. ,VS. 
(Millones de Pesos) ,1T20 ,4T20 ,1T21 ,4T20 ,1T20 
Total Crédito ,"650,260 ","706,611 ","639,199 ",(9.54%) ,(1.70%) 
Crédito (Cartera) ,"539,000 ","559,914 ","519,548 ",(7.21%) ,(3.61%) 
Crédito (Otros) ,"111,260 ","146,697 ","119,651 ",(18.44%) ,7.54% 
Total Mercado ,"110,888 ","155,963 ","167,543 ",7.42% ,51.09% 
Total Operacional ,"65,882 ","71,860 ","73,072 ",1.69% ,10.91% 
Totales ,"827,030 ","934,435 ","879,814 ",(5.85%) ,6.38% 


Table
,,Con Reservas Adicionales ,Sin Reservas Adicionales 
,,+2.80 pp ,+3.33 pp 
1. ,Utilidades generadas en el periodo ,+ 2.88 pp ,+2.88 pp 
2. ,Valuación de Instrumentos Financieros y Derivados de Cobertura ** ,+ 0.91 pp ,+0.91 pp 
3. ,Otros efectos de Capital* ,+0.86 pp ,+0.86 pp 
4. ,Crecimiento en Activos en Riesgo - Crédito** ,+0.40 pp ,+0.34 pp 
5. ,Notas de Capital ,-0.13 pp ,-0.13 pp 
6. ,Crecimiento en Activos en Riesgo - Operativo ,-0.15 pp ,-0.15 pp 
7. ,Crecimiento en Activos en Riesgo - Crédito (Otros) ,-0.17 pp ,-0.17 pp 
8. ,Reservas Adicionales ,-0.59 pp ,-0.00 pp 
9. ,Crecimiento en Activos en Riesgo - Mercado ,-1.22 pp ,-1.22 pp 


Table
,,,1T21 vs 4T20 
,,,+1.57 pp 
,1. Crecimiento en Activos en Riesgo - Crédito*** ,,+0.89 pp 
,2. Utilidades generadas en el 1T21 ,,+ 0.68 pp 
,3. Crecimiento en Activos en Riesgo - Crédito (Otros) ,,+0.64 pp 
,4. Crecimiento en Activos en Riesgo - Operativo ,,-0.03 pp 
,5. Notas de Capital ,,-0.03 pp 
,6. Inversiones Permanentes e Intangibles y otros efectos en Capital* ,,-0.08 pp 
,7. Crecimiento en Activos en Riesgo - Mercado ,,- -0.25 pp 
,8. Valuación de Instrumentos Financieros y Derivados de Cobertura** ,,- 0.25 pp 


