Table
,,CARTERA (Millones ,DE CRÉDITO de Pesos) ,,,,,
,Moneda ,Nacional ,UDIS ,,Moneda ,Extranjera ,Total ,
,1T20 ,1T21 ,1T20 ,1T21 ,1T20 ,1T21 ,1T20 ,1T21 
Cartera Vigente ,,,,,,,,
Créditos Comerciales ,"238,974 ","261,311 ",0 ,- ,"79,465 ","63,218 ","318,439 ","324,529 "
Créditos a Entidades Financieras ,"9,067 ","8,445 ",0 ,- ,0 ,- ,"9,067 ","8,445 "
Créditos al Consumo ,"117,537 ","116,092 ",0 ,- ,0 ,- ,"117,537 ","116,092 "
Créditos a la Vivienda ,"173,125 ","191,142 ",100 ,78 ,0 ,- ,"173,226 ","191,220 "
Créditos a Entidades Gubernamentales ,"150,716 ","149,126 ","2,599 ",- ,"8,234 ","10,916 ","161,549 ","160,042 "
Total ,"689,420 ","726,115 ","2,699 ",78 ,"87,698 ","74,134 ","779,818 ","800,328 "
Cartera Vencida ,,,,,,,,
Créditos Comerciales ,"5,050 ","3,432 ",0 ,0 ,"1,998 ",217 ,"7,047 ","3,649 "
Créditos a Entidades Financieras ,4 ,0 ,0 ,- ,0 ,- ,4 ,- 
Créditos al Consumo ,"4,052 ","4,694 ",0 ,- ,0 ,- ,"4,052 ","4,694 "
Créditos a la Vivienda ,"2,059 ","2,061 ",11 ,10 ,0 ,0 ,"2,070 ","2,071 "
Créditos a Entidades Gubernamentales ,40 ,192 ,- ,- ,- ,- ,40 ,192 
Total ,"11,203 ","10,380 ",11 ,10 ,"1,998 ",217 ,"13,212 ","10,607 "
Cartera de Crédito ,"700,623 ","736,496 ","2,710 ",88 ,"89,696 ","74,351 ","793,030 ","810,935 "


Table
DIFERENCIAS TEMPORALES ACTIVAS ,ISR ,Neto 
Reservas Preventivas Globales de Cartera Crediticia ,"5,743 ","5,743 "
Provisiones no deducibles ,"1,584 ","1,584 "
Exceso del valor contable sobre el fiscal del bienes adjudicados y activo fijo ,332 ,332 
PTU disminuible ,200 ,200 
Comisiones cobrada por anticipado ,"1,051 ","1,051 "
Efecto por valuación de instrumentos financieros ,- ,- 
Pérdidas fiscales por amortizar ,660 ,660 
Provisiones para posibles pérdidas de créditos ,338 ,338 
Pérdida en venta de creditos y bienes adjudicados ,- ,- 
Disminución del valor de bienes inmuebles ,- ,- 
Intereses en prestamos ,- ,- 
Otras partidas ,204 ,204 
Total Activo ,"10,112 ","10,112 "
Diferencias Temporales Pasivas ,,
Aportación fondo de pensiones ,(106) ,(106) 
Adquisición de portafolios de cartera ,(463) ,(463) 
Proyectos capitalizables. pagos e ingresos anticipados ,"(6,383) ","(6,383) "
Activos Intangibles distintos del Fondo de Comercio ,- ,- 
Efecto por valuación de instrumentos financieros ,"(3,904) ","(3,904) "
Activos Intangibles con relacion con clientes ,(347) ,(347) 
Efecto por otras partidas ,(47) ,(47) 
Total Pasivo ,"(11,251) ","(11,251) "
Activo (Pasivo) neto acumulado ,"(1,139) ","(1,139) "


Table
,COSTO DEL PERIODO ,TOTAL SALDO DE CARTERA 
FINAPE ,- ,- 
FOPYME ,- ,- 
Hipotecario UDIS ,(5.2) ,0.0 
Hipotecario tipo FOVI ,- ,- 
,(5.2) ,0.0 


