Table
Otros Ingresos y Egresos de la Operación (Millones de Pesos) ,1T20 ,4T20 ,1T21 ,Var. 4T20 ,Vs. 1T20 
Portafolios de Crédito ,80 ,69 ,99 ,44% ,24% 
Resultado por Bienes Adjudicados ,88 ,129 ,87 ,(32%) ,(1%) 
Deterioro de Activos ,(55) ,- ,- ,N.A. ,100% 
Ingresos por Arrendamiento ,100 ,62 ,64 ,3% ,(37%) 
Provenientes de Seguros ,211 ,317 ,275 ,(13%) ,30% 
Resultado por Valuación en Op. de Bursatilización ,31 ,(36) ,0 ,100% ,(100%) 
Otros ,(128) ,319 ,298 ,(7%) ,333% 
Otros Ingresos (Egresos) de la Operación ,327 ,859 ,822 ,(4%) ,151% 


Table
Utilidad Neta (Millones de Pesos) ,1T20 ,4T20 ,1T21 ,Var. 4T20 ,Vs. 1T20 
Resultado Neto de Operación ,"12,106 ","7,290 ","10,905 ",50% ,(10%) 
Participación en el Resultado de Subsidiarias y Asociadas no consolidadas ,353 ,509 ,429 ,(16%) ,21% 
Resultado antes de Impuestos ,"12,459 ","7,800 ","11,334 ",45% ,(9%) 
Impuestos ,"3,228 ","1,757 ","2,678 ",52% ,(17%) 
Partidas Discontinuadas ,- ,- ,- ,N.A. ,N.A. 
Participación no controladora ,(113) ,(77) ,(112) ,(46%) ,1% 
Utilidad Neta ,"9,118 ","5,966 ","8,544 ",43% ,(6%) 


Table
Gasto No Financiero (Millones de Pesos) ,1T20 ,4T20 ,1T21 ,Var. 4T20 ,Vs. 1T20 
Gastos de Personal ,"3,930 ","4,660 ","4,006 ",(14%) ,2% 
Honorarios Pagados ,749 ,962 ,806 ,(16%) ,8% 
Gastos de Administración y Promoción ,"2,382 ","2,141 ","2,223 ",4% ,(7%) 
"Rentas, Depreciaciones y Amortizaciones ","1,946 ","2,136 ","2,243 ",5% ,15% 
Otros Impuestos y Gastos No deducibles ,498 ,648 ,553 ,(15%) ,11% 
Aportaciones al IPAB ,828 ,931 ,912 ,(2%) ,10% 
PTU causado ,133 ,136 ,139 ,2% ,5% 
Gasto No Financiero ,"10,466 ","11,612 ","10,883 ",(6%) ,4% 


