Table
,CAPITAL CONTRIBUIDO ,,,,,,CAPITAL ,GANADO ,,,,
,,,,,,,,,,,,
Saldos al 31 de Diciembre de 2020 ,"14,919 ","48,269 ","9,215 ","118,773 ","3,801 ",(887) ,(231) ,134 ,"(2,259) ","30,508 ","2,862 ","225,104 "
Movim. inherentes a las decis. de los accionistas ,,,,,,,,,,,,
Recompra de plan de pagos basado en acciones liquidables en instrumentos de capital ,17 ,(403) ,504 ,,(5) ,,,,,,,113 
Aplicación de utilidades ,,,,"30,508 ",,,,,,"(30,508) ",,0 
Total ,17 ,(403) ,504 ,"30,508 ",(5) ,0 ,0 ,0 ,0 ,"(30,508) ",0 ,113 
Movimientos inherentes al reconocimiento de la utilidad integral ,,,,,,,,,,,,
Utilidad Integral: ,,,,,,,,,,,,
Resultado neto ,,,,,,,,,,"8,544 ",,"8,544 "
Resultado por Valuación de títulos disponibles para la venta ,,,,,"(1,597) ",,,,,,,"(1,597) "
"Efecto de subsidiarias ,asociadas ysociedades de inversion ",,(3) ,,(4) ,,,,32 ,,,,25 
Resultado por valuación de Instrumentos de cobertura de flujos de efectivo ,,,,,,"(1,327) ",,,,,,"(1,327) "
Resultado en la valuación de la reserva de riesgos en curso por variaciones en las tasas ,,,,,,,121 ,,,,,121 
Remediciones por beneficios definidos a los empleados ,,,,,,,,,30 ,,,30 
Intereses de obligaciónes subordinadas ,,,,(918) ,,,,,,,,(918) 
Total ,0 ,(3) ,0 ,(922) ,"(1,597) ","(1,327) ",121 ,32 ,30 ,"8,544 ",0 ,"4,878 "
Participación no controladora ,,,,,,,,,,,47 ,47 
Saldos al 31 de Marzo de 2021 ,"14,936 ","47,863 ","9,719 ","148,359 ","2,199 ","(2,214) ",(110) ,166 ,"(2,229) ","8,544 ","2,909 ","230,142 "


