Table
Capitalización (Millones de Pesos) ,1T20 ,4T20 ,1T21 ,Var. 4T20 ,Vs. 1T20 
Capital Fundamental ,"100,589 ","129,929 ","132,136 ",1.7% ,31.4% 
Capital Básico ,"147,558 ","179,701 ","183,236 ",2.0% ,24.2% 
Capital Complementario ,"9,194 ","8,894 ","8,123 ",(8.7%) ,(11.6%) 
Capital Neto ,"156,752 ","188,595 ","191,359 ",1.5% ,22.1% 
Activos con Riesgo Crediticio ,"650,260 ","706,194 ","639,199 ",(9.5%) ,(1.7%) 
Capital Neto / Activos con Riesgo Crediticio ,24.1% ,26.7% ,29.9% ,3.2 pp ,5.8 pp 
Activos Riesgo Total ,"827,030 ","933,801 ","879,814 ",(5.8%) ,6.4% 
Capital Fundamental ,12.16% ,13.91% ,15.02% ,1.1 pp ,2.9 pp 
Capital Básico ,17.84% ,19.24% ,20.83% ,1.6 pp ,3.0 pp 
Capital Complementario ,1.11% ,0.95% ,0.92% ,(0.0 pp) ,(0.2 pp) 
Índice de Capitalización ,18.95% ,20.20% ,21.75% ,1.55 pp ,2.80 pp 


