Table
Seguros Banorte - Balance General (Millones de Pesos) ,1T20 ,2T20 ,3T20 ,4T20 ,1T21 
ACTIVOS ,,,,,
Disponibilidades ,"1,765 ","2,861 ","3,014 ","2,973 ",86 
Cuentas de Margen ,- ,- ,- ,- ,- 
Títulos para negociar ,"24,424 ","26,497 ","27,705 ","29,869 ","32,163 "
Títulos disponibles para la venta ,554 ,596 ,600 ,602 ,551 
Títulos conservados a vencimiento ,(0) ,(0) ,(0) ,(0) ,(0) 
Inversiones en Valores ,"24,978 ","27,094 ","28,306 ","30,471 ","32,714 "
Deudores por reporto (saldo deudor) ,"1,654 ",851 ,"2,157 ","2,000 ","5,337 "
Préstamo de Valores ,- ,- ,- ,- ,- 
Operaciones con Derivados ,- ,- ,- ,- ,- 
Operaciones con Valores y Derivadas ,"1,654 ",851 ,"2,157 ","2,000 ","5,337 "
Ajustes de valuación por cobertura de activos ,- ,- ,- ,- ,- 
Derechos de cobro adquiridos ,- ,- ,- ,- ,- 
Cuentas por cobrar ,289 ,346 ,405 ,448 ,284 
Deudores por Prima (Neto) ,"7,581 ","8,937 ","6,392 ","3,986 ","10,876 "
Ctas por cobrar a reaseguradores y reafianzadores ,"8,162 ","8,872 ","7,924 ","7,269 ","7,521 "
Beneficios por recibir en operaciones de Busatilización ,- ,- ,- ,- ,- 
"Otras Cuentas por cobrar, neto ",- ,- ,- ,- ,- 
Inventario de Mercancías ,- ,- ,- ,- ,- 
"Propiedades, Mobiliario y equipo (Neto) ",346 ,342 ,416 ,413 ,414 
Inversiones permanentes ,"12,849 ","13,241 ","13,620 ","14,104 ","12,785 "
Activos de larga duración disponibles para la venta ,- ,- ,- ,- ,- 
"Impuestos diferidos, neto ",298 ,298 ,298 ,335 ,335 
"Cargos diferidos, pagos anticipados e intangibles ","1,710 ","2,322 ","2,517 ","2,943 ","1,857 "
Otros activos a corto y largo plazo ,91 ,93 ,94 ,95 ,95 
,"31,326 ","34,450 ","31,666 ","29,594 ","34,167 "
TOTAL ACTIVOS ,"59,723 ","65,256 ","65,143 ","65,038 ","72,304 "


