Table
PASIVOS Y CAPITAL ,Operadora de Fondos Banorte ,IXE Servicios ,Total ,Cargos Eliminaciones Intercompañías ,Créditos Eliminaciones Intercompañías ,Saldo Final 
Captación de Recursos ,- ,- ,"835,542 ","5,011 ",- ,"830,531 "
Depósitos exigibilidad inmediata ,- ,- ,"545,953 ","4,950 ",- ,"541,002 "
Depósitos a plazo ,- ,- ,"255,013 ",61 ,- ,"254,953 "
Depósitos a plazo-Del Público en General ,- ,- ,"246,944 ",61 ,- ,"246,883 "
Depósitos a plazo-Mercado de Dinero ,- ,- ,"8,069 ",- ,- ,"8,069 "
Títulos de crédito emitidos ,- ,- ,"31,937 ",- ,- ,"31,937 "
Cuenta global de captación sin movimientos ,- ,- ,"2,639 ",- ,- ,"2,639 "
Préstamos de Bancos y otros ,- ,- ,"49,002 ","14,987 ",- ,"34,016 "
De exigibilidad inmediata ,- ,- ,0 ,- ,- ,0 
De corto plazo ,- ,- ,"35,040 ","14,987 ",- ,"20,054 "
De largo plazo ,- ,- ,"13,962 ",- ,- ,"13,962 "
Reservas Técnicas ,- ,- ,"200,391 ",- ,88 ,"200,479 "
Valores asignados por liquidar ,- ,- ,- ,- ,- ,- 
Acreedores por reporto ,- ,- ,"390,577 ","19,163 ",- ,"371,414 "
Colaterales vendidos o dados en garantía ,- ,- ,31 ,- ,- ,31 
Derivados con fines de negociación ,- ,- ,"24,508 ",- ,- ,"24,508 "
Derivados con fines de cobertura ,- ,- ,"5,566 ",- ,- ,"5,566 "
Ajustes de valuación por cobertura de pasivos financieros ,- ,- ,- ,- ,- ,- 
Cuentas por pagar a Reaseguradores y Reafianzadores (Neto) ,- ,- ,"3,145 ",- ,- ,"3,145 "
Otras Cuentas por pagar ,163 ,11 ,"49,496 ",405 ,41 ,"49,132 "
Impuestos a la Utilidad por pagar ,- ,0 ,"1,895 ",- ,- ,"1,895 "
Participación de los trabajadores en la utilidad ,- ,- ,187 ,- ,- ,187 
Acreedores por liquidación de operaciones ,- ,- ,"4,028 ",8 ,- ,"4,020 "
Acreedores por colaterales recibidos en efectivo ,- ,- ,"2,848 ",- ,- ,"2,848 "
Acreedores Diver. yotras ctas. p/pagar ,163 ,11 ,"40,537 ",397 ,41 ,"40,182 "
Obligaciones subordinadas en circulación ,- ,- ,"58,759 ",- ,- ,"58,759 "
Impuestos diferidos (Neto) ,- ,- ,"2,726 ","1,587 ",- ,"1,139 "
Créditos diferidos y Cobros Anticipados ,- ,- ,"1,346 ",- ,- ,"1,346 "
TOTAL PASIVOS ,163 ,11 ,"1,621,089 ","41,153 ",129 ,"1,580,066 "
CAPITAL ,,,,,,
Capital contribuido ,170 ,144 ,"120,792 ","58,315 ",322 ,"62,799 "
Capital Social ,170 ,144 ,"64,192 ","49,256 ",- ,"14,936 "
Prima en venta de acciones ,- ,- ,"56,600 ","9,060 ",322 ,"47,863 "
Aportaciones para futuros aumentos de capital acordadas por su órgano de gobierno ,- ,- ,- ,- ,- ,- 
Capital Ganado ,"1,285 ",(28) ,"297,609 ","133,518 ",343 ,"164,434 "
Reservas de capital ,34 ,2 ,"30,625 ","20,905 ",- ,"9,719 "
Resultado de ejercicios anteriores ,"1,144 ",(11) ,"254,336 ","106,301 ",325 ,"148,359 "
Res. por valuación de títulos disponibles para la venta ,- ,- ,"4,598 ","2,399 ",- ,"2,199 "
Res. por valuación de instrumentos de cobertura de flujos de efectivo ,- ,- ,"(4,469) ","(2,255) ",- ,"(2,214) "
Resultado en la Valuación de la Reserva de Riesgos en curso por variaciones en las tasas ,- ,- ,(219) ,(109) ,- ,(110) 
Efecto acumulado por conversión ,- ,- ,333 ,167 ,- ,166 
Exceso (insuf.) en la actualiz. del Cap. Cont. ,- ,- ,- ,- ,- ,- 
Remediciones por beneficios definidos a los empleados ,- ,- ,"(4,522) ","(2,293) ",- ,"(2,229) "
Resultado neto ,107 ,(19) ,"16,929 ","8,402 ",18 ,"8,544 "
Capital Mayoritario ,"1,455 ",117 ,"418,402 ","191,833 ",665 ,"227,233 "
Participación no controladora ,- ,- ,514 ,- ,"2,394 ","2,908 "
Total Capital Contable ,"1,455 ",117 ,"418,916 ","191,833 ","3,059 ","230,142 "
TOTAL PASIVOS Y CAPITAL ,"1,618 ",128 ,"2,040,005 ","232,986 ","3,188 ","1,810,207 "


