Table
Provisiones para Crédito (Millones de Pesos) ,1T20 ,4T20 ,1T21 ,Var. 4T20 ,Vs. 1T20 
"Comercial, Corporativo y Gobierno ",908 ,736 ,139 ,(81%) ,(85%) 
Consumo ,"3,595 ","3,537 ","3,187 ",(10%) ,(11%) 
"Condonaciones, Quitas y Otros ",(159) ,(280) ,(112) ,60% ,30% 
Provisiones Adicionales ,- ,"2,000 ",- ,(100%) ,N.A. 
Total Provisiones ,"4,344 ","5,993 ","3,215 ",(46%) ,(26%) 


Table
Ingresos No Financieros (Millones de Pesos) ,1T20 ,4T20 ,1T21 ,Var. 4T20 ,Vs. 1T20 
Comisiones por Servicios Netas ,"3,455 ","3,599 ","3,214 ",(11%) ,(7%) 
Intermediación ,"1,166 ",858 ,964 ,12% ,(17%) 
Otros Ingresos (Egresos) de la Operación ,327 ,859 ,822 ,(4%) ,151% 
Ingresos No Financieros ,"4,949 ","5,315 ","5,000 ",(6%) ,1% 


